address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
10 Trench Street,Central,Mackenzie Health,Universalcare Canada Inc.,Non-Profit,No,Yes,Yes,Yes,Richmond Hill, L4C4Z3,168.0,25.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,mackenzie health long term care facility,,,,,Richmond Hill,3519038.0,35.0,43.87045412,-79.45081182
52 George Street,Central,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Newmarket, L3Y4V3,93.0,26.0,"(21.0, 31.0]",1.0,20.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,mackenzie place,66,11,21,Active,Newmarket,3519048.0,35.0,44.05748695,-79.47891695
1541 St. Joseph Boulevard,Champlain,The Royale Development Lp,,For-Profit,No,Yes,Yes,Yes,Orleans, K1C7L3,160.0,109.0,"(46.0, 172.0]",3.0,66.0,"(23.0, 86.0]",3.0,38.0,"(11.0, 44.0]",3.0,madonna care community,52,33,41,Active,Ottawa,3506008.0,35.0,45.46043427,-75.559988
77 Main Street,Toronto Central,Revera Long Term Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Toronto, M4E2V6,150.0,47.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,main street terrace,<5,0,0,Active,Toronto,3520005.0,35.0,43.68160949,-79.29859826
290 South Street,South West,Grosvenor Health Care Partnership (No. 3),Extendicare (Canada) Inc.,For-Profit,Yes,Yes,Yes,Yes,Goderich, N7A4G6,91.0,35.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,maitland manor,,,,,Goderich,3540028.0,35.0,43.73314149,-81.71190013
7075 Rexwood Road,Central West,The Regional Municipality Of Peel,,Municipal,No,Yes,Yes,Yes,Mississauga, L4T4M1,160.0,62.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,14.0,"(11.0, 44.0]",3.0,malton village long term care centre,<5,0,<5,Active,Mississauga,3521005.0,35.0,43.71847959,-79.62437147
70 Robinson Street Postal Bag 460,North East,Manitoulin Centennial Manor Home For The Aged Board Of Management,Extendicare (Canada) Inc.,Municipal,No,Yes,No,No,Little Current, P0P1K0,60.0,26.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,manitoulin centennial manor home for the aged,,,,,Northeastern Manitoulin and the Islands,3551017.0,35.0,45.98389625,-81.93648973
3 Main Street P. O. Box 648,North East,584482 Ontario Inc.,,For-Profit,Yes,Yes,Yes,Yes,Gore Bay, P0P1H0,61.0,27.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,manitoulin lodge,,,,,Gore Bay,3551026.0,35.0,45.91388961,-82.46562059
949 Montreal Road,Champlain,"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,No,Ottawa, K1K0S6,64.0,115.0,"(46.0, 172.0]",3.0,68.0,"(23.0, 86.0]",3.0,22.0,"(11.0, 44.0]",3.0,manoir marochel,29,7,15,Active,Ottawa,3506008.0,35.0,45.44785486,-75.62821042
215 Sunny Meadow Blvd.,Central West,2063415 Ontario Limited As General Partner Of 2063415 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Brampton, L6R3B5,160.0,37.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,maple grove care community,,,,,Brampton,3521010.0,35.0,43.75771219,-79.75483001
73 Bidwell Street,South West,Maplewood Nursing Home Limited,,For-Profit,No,Yes,Yes,Yes,Tillsonburg, N4G3T8,106.0,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,maple manor nursing home,,,,,Tillsonburg,3532004.0,35.0,42.86006238,-80.72991974
6 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),1365853 Ontario Limited,,For-Profit,No,Yes,Yes,Yes,Fort Erie, L2A5M5,96.0,26.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,maple park lodge,,,,,Fort Erie,3526003.0,35.0,42.91045417,-78.92271967
1029-4Th Avenue West,South West,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K4W1,29.0,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,maple view,,0,,Inactive,Owen Sound,3542059.0,35.0,44.56743597,-80.94905687
"746 County Road, 42 East P.O. Box 100",South East,United Counties Of Leeds And Grenville,,Municipal,No,Yes,Yes,No,Athens, K0E1B0,60.0,33.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,maple view lodge,,,,,Athens,3507042.0,35.0,44.63454631,-75.93144305
441 Maple Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Dallov Holdings Limited,,For-Profit,No,Yes,Yes,Yes,Burlington, L7S1L8,93.0,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maple villa long term care centre,,,,,Burlington,3524002.0,35.0,43.31995171,-79.80289539
12 Maplewood Avenue Box 249,South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Brighton, K0K1H0,49.0,25.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,maplewood,<5,0,0,Active,Brighton,3514004.0,35.0,44.039652600000004,-77.74441359999999
600 Cecelia Street,Champlain,Marianhill Inc.,,Non-Profit,Yes,Yes,Yes,Yes,Pembroke, K8A7Z3,139.0,32.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,marianhill nursing home,,,,,Pembroke,3547064.0,35.0,45.81487556,-77.10391504
9915 Yonge Street,Central,Mariann Nursing Home And Residence,,Non-Profit,No,Yes,Yes,Yes,Richmond Hill, L4C1V1,64.0,13.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,mariann home,,,,,Richmond Hill,3519038.0,35.0,43.86921402,-79.43615722
54 Parkway Avenue,Central,"Markhaven, Inc.",,Non-Profit,No,No,Yes,No,Markham, L3P2G4,96.0,27.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,markhaven,9,17,16,Active,Markham,3519036.0,35.0,43.88371943,-79.25422906
749 Devine Street,Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,No,Yes,Yes,No,Sarnia, N7T1X3,126.0,61.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,marshall gowland manor,,,,,Sarnia,3538030.0,35.0,42.96399632,-82.38446927
723 North Street,North East,The Ontario-finnish Resthome Association,,Non-Profit,Yes,Yes,Yes,No,Sault Ste Marie, P6B6G8,63.0,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,mauno kaihla koti,,,,,Sault Ste. Marie,3557061.0,35.0,46.5396691,-84.33693736
80 Mechanic Street West,Champlain,Maxville Manor,,Non-Profit,Yes,Yes,Yes,No,Maxville, K0C1T0,122.0,32.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,maxville manor,,,,,North Glengarry,3501050.0,35.0,45.28415857,-74.86345425
28 Halton Street,Toronto Central,Schlegel Villages Inc,,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1R3,77.0,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maynard nursing home,0,0,0,Active,Toronto,3520005.0,35.0,43.64880888,-79.4191815
140 SHERWAY DRIVE,Mississauga Halton,The Credit Valley Hospital & Trillium Health Cntr,Extendicare (Canada) Inc.,Non-Profit,No,Yes,No,Yes,ETOBICOKE, M9C1A4,21.0,11.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mccall centre long term care interim unit,,0,,Inactive,Toronto,3520005.0,35.0,43.61006437,-79.56210244
2022 Kains Road,South West,The Women's Christian Association Of London,,Non-Profit,Yes,Yes,Yes,Yes,London, N6K0A8,160.0,47.0,"(46.0, 172.0]",3.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,mccormick home,,,,,London,3539036.0,35.0,42.96884017,-81.35418445
355 McGarrell Drive,South West,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,London, N6G0B1,157.0,48.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,mcgarrell place,,,,,London,3539036.0,35.0,43.02383798,-81.29614393
1210 Southdale Road East,South West,Meadow Park (London) Inc.,,For-Profit,Yes,Yes,Yes,Yes,London, N6E1B4,126.0,88.0,"(46.0, 172.0]",3.0,48.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,meadow park (london),<5,<5,8,Active,London,3539036.0,35.0,42.94667847,-81.20205190000001
110 Sandys Street,Erie St. Clair,Meadow Park (Chatham) Inc.,,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7L4X3,99.0,19.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,meadow park nursing home (chatham),,,,,Chatham-Kent,3536020.0,35.0,42.40705193,-82.19885326
135 William Street,South West,Meaford Nursing Home Limited,,For-Profit,Yes,Yes,Yes,Yes,Meaford, N4L1T4,77.0,36.0,"(31.0, 46.0]",2.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,meaford long term care - a peoplecare community,,,,,Meaford,3542047.0,35.0,44.61169379,-80.60054596
1 Tabor Drive,Hamilton Niagara Haldimand Brant (Hnhb),Mennonite Brethren Senior Citizens Home,,Non-Profit,Yes,Yes,Yes,No,St Catharines, L2N1V9,82.0,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mennonite brethren senior citizens home,,,,,St. Catharines,3526053.0,35.0,43.1888487,-79.2335379
2094 Gideon Drive R.R. #1,South West,Middlesex Terrace Limited,Apans Health Services,For-Profit,No,Yes,Yes,Yes,Delaware, N0L1E0,105.0,43.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,middlesex terrace,,,,,Middlesex Centre,3539033.0,35.0,42.92353736,-81.42514196
130 Midland Avenue,Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1N4B2,299.0,80.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,33.0,"(11.0, 44.0]",3.0,midland gardens care community,21,<5,8,Active,Toronto,3520005.0,35.0,43.708358600000004,-79.24749635
286 Hurst Drive,North Simcoe Muskoka,Mill Creek Care Centre,,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N0Z3,160.0,35.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mill creek care centre,,,,,Barrie,3543042.0,35.0,44.368993100000004,-79.65609964
6861 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,No,Yes,Yes,Yes,Niagara Falls, L2E6S5,160.0,50.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,millennium trail manor,,,,,Niagara Falls,3526043.0,35.0,43.076347,-79.11734305
725 Pembroke Street West,Champlain,County Of Renfrew,,Municipal,Yes,Yes,Yes,Yes,Pembroke, K8A8S6,166.0,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,miramichi lodge,,0,,Inactive,Pembroke,3547064.0,35.0,45.82684776,-77.13017355
26 Peter Street North,Mississauga Halton,Mississauga Long Term Care Facility Inc.,,For-Profit,No,Yes,No,Yes,Mississauga, L5H2G7,55.0,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,mississauga long term care facility,,,,,Mississauga,3521005.0,35.0,43.54970386,-79.59094324
"184 Napier Street, S.S. #1",South West,Ritz Lutheran Villa,,Non-Profit,No,Yes,Yes,No,Mitchell, N0K1N0,48.0,34.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,mitchell nursing home,,,,,West Perth,3531025.0,35.0,43.47396537,-81.20189084
415 River Street West P.O. Box 200,South East,Aon Inc.,,For-Profit,No,Yes,Yes,Yes,Tweed, K0K3J0,128.0,37.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,moira place long-term care home,,0,,Inactive,Tweed,3512030.0,35.0,44.47111572,-77.31915479
36 D'Arcy Street,Toronto Central,Mon Sheong Foundation,,Non-Profit,Yes,Yes,No,No,Toronto, M5T1J7,105.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong home for the aged,23,32,16,Active,Toronto,3520005.0,35.0,43.65527498,-79.39314779
11199 Yonge Street,Central,Mon Sheong Foundation,,Non-Profit,Yes,Yes,Yes,No,Richmond Hill, L4S1L2,192.0,11.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong richmond hill long term care centre,,,,,Richmond Hill,3519038.0,35.0,43.90134473,-79.44320193
2030 Mcnicoll Avenue,Central East,Mon Sheong Foundation,,Non-Profit,Yes,Yes,Yes,No,Scarborough, M1V5P4,160.0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mon sheong scarborough long term care centre,,,,,Toronto,3520005.0,35.0,43.81309612,-79.29999097
705 Montreal Road,Champlain,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Ottawa, K1K0M9,128.0,87.0,"(46.0, 172.0]",3.0,51.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,montfort,63,27,18,Active,Ottawa,3506008.0,35.0,45.44672936,-75.64059562
7363 Calfass Road R. R. #2,Waterloo Wellington,Retirement Home Specialists Incorporated,,For-Profit,No,Yes,No,No,Puslinch, N0B2J0,28.0,20.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,morriston park nursing home,,,,,Puslinch,3523001.0,35.0,43.44004921,-80.1276776
21 Grosvenor Street P.O. Box 5777,South West,"St. Joseph's Health Care, London",,Non-Profit,Yes,Yes,Yes,Yes,London, N6A1Y6,177.0,87.0,"(46.0, 172.0]",3.0,44.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,mount hope centre for long term care,,0,,Inactive,London,3539036.0,35.0,42.99894988,-81.25634222
4486 Guelph Line,Hamilton Niagara Haldimand Brant (Hnhb),Canadian Reformed Society For A Home For The Aged Inc.,,Non-Profit,No,Yes,Yes,Yes,Burlington, L7P0N2,61.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,mount nemo christian nursing home,,,,,Burlington,3524002.0,35.0,43.40257242,-79.87556992
65 Rogers Cove Drive,North Simcoe Muskoka,Huntsville Long Term Care Centre Inc.,,For-Profit,Yes,Yes,Yes,Yes,Huntsville, P1H2L9,94.0,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,muskoka landing,,,,,Huntsville,3544042.0,35.0,45.33624348,-79.20221468
200 Kelly Drive,North Simcoe Muskoka,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Gravenhurst, P1P1P3,183.0,43.0,"(31.0, 46.0]",2.0,29.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,muskoka shores care community,,,,,Gravenhurst,3544002.0,35.0,44.9143044,-79.36729389
155 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Niagara Health System,,Non-Profit,No,Yes,No,Yes,St. Catharines, L2R5K3,115.0,30.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,"niagara health system, welland hospital site, extended care unit",,,,,Welland,3526032.0,35.0,42.97988177,-79.24856448
413 Linwell Road,Hamilton Niagara Haldimand Brant (Hnhb),Niagara Ina Grafton Gage Home Of The United Church,,Non-Profit,No,Yes,Yes,No,St Catharines, L2M7Y2,40.0,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,niagara ina grafton gage village,,,,,St. Catharines,3526053.0,35.0,43.20027151,-79.22528859
120 Wellington Street P.O. Box 985,Hamilton Niagara Haldimand Brant (Hnhb),"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,No,Yes,Yes,Yes,Niagara-On-The-Lake, L0S1J0,124.0,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,niagara long term care residence,,,,,,,,,
125 Hogan Road P O Box 37,North West,Nipigon District Memorial Hospital,,Non-Profit,No,Yes,No,Yes,Nipigon, P0T2J0,15.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,nipigon district memorial hospital,,,,,Nipigon,3558044.0,35.0,49.0155755,-88.2759054
1202 Highway 94,North East,1895357 Ontario Inc.,,For-Profit,No,Yes,Yes,Yes,Corbeil, P0H1K0,120.0,20.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,nipissing manor nursing care center,,,,,East Ferris,3548034.0,35.0,46.24835493,-79.33681562
740 Pape Avenue,Toronto Central,Nisbet Lodge,,Non-Profit,No,Yes,Yes,Yes,Toronto, M4K3S7,103.0,13.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,nisbet lodge,,,,,Toronto,3520005.0,35.0,43.68025289,-79.34558197
200 Boullee Street,Waterloo Wellington,Tri-county Mennonite Homes,,Non-Profit,No,Yes,Yes,No,New Hamburg, N3A2K4,99.0,46.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,nithview home,,,,,Wilmot,3530020.0,35.0,43.38053997,-80.70159538
22 Norfinch Drive,Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,North York, M3N1X1,160.0,17.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,norfinch care community,,,,,Toronto,3520005.0,35.0,43.756787599999996,-79.52618684
2 Kimberly Drive,North East,North Centennial Manor Inc.,,Non-Profit,No,Yes,Yes,No,Kapuskasing, P5N1L5,78.0,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north centennial manor,,,,,Kapuskasing,3556066.0,35.0,49.42402834,-82.43174902
39 Morris Street R.R. #6,Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,No,Yes,Yes,No,Forest, N0N1J0,88.0,27.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,north lambton lodge,,,,,Lambton Shores,3538040.0,35.0,43.09281026,-81.99290376
450 Rustic Road,Central,North Park Nursing Home Limited,Assured Care Consulting Inc.,For-Profit,No,Yes,Yes,Yes,North York, M6L1W9,75.0,25.0,"(21.0, 31.0]",1.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,north park nursing home,0,0,<5,Active,Toronto,3520005.0,35.0,43.71741799,-79.48214652
47 Ridge Road P.O. Box 1988,Champlain,North Renfrew Long-term Care Services Inc.,,Non-Profit,Yes,Yes,No,No,Deep River, K0J1P0,21.0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north renfrew long-term care services,,,,,,,,,
525 Causley Street P.O. Box 970,North East,North Shore Health Network,,Non-Profit,No,Yes,No,Yes,Blind River, P0R1B0,10.0,12.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,north shore health network – eldcap unit,,,,,,,,,
525 Causley Street P. O. Box 970,North East,North Shore Health Network,,Non-Profit,No,Yes,Yes,Yes,Blind River, P0R1B0,22.0,15.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,north shore health network – ltc unit,,,,,,,,,
2 Fielden Avenue,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,No,Yes,No,Yes,Port Colborne, L3K6G4,151.0,31.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,northland pointe,,,,,Port Colborne,3526011.0,35.0,42.8807752,-79.25766920000001
496 Postridge Drive,Mississauga Halton,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Oakville, L6H7A2,133.0,35.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,northridge,,0,,Inactive,Oakville,3524001.0,35.0,43.48960334,-79.71426817
77 River Road P.O. Box 1139,North East,675412 Ontario Inc.,,For-Profit,Yes,Yes,No,Yes,Englehart, P0J1H0,48.0,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,northview nursing home,<5,0,0,Active,Englehart,3554052.0,35.0,47.8219425,-79.8655049
51 Highway 105 P.O. Box 420,North West,Board Of Management Of The District Of Kenora,,Municipal,No,Yes,Yes,No,Red Lake, P0V2M0,32.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,northwood lodge,,,,,Red Lake,3560042.0,35.0,51.01327044,-93.82244384
44 Rob Blake Way,Hamilton Niagara Haldimand Brant (Hnhb),The Corporation Of Norfolk County,,Municipal,Yes,Yes,Yes,Yes,Simcoe, N3Y0E3,180.0,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,norview lodge,,0,,Inactive,Norfolk County,3528052.0,35.0,42.8372838,-80.33304111
122 Tyndall Avenue,Toronto Central,Norwood Nursing Home Limited,,For-Profit,No,Yes,Yes,Yes,Toronto, M6K2E2,60.0,15.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,norwood nursing home,<5,0,<5,Active,Toronto,3520005.0,35.0,43.63752278,-79.4293819
291 Mississaga Street West,North Simcoe Muskoka,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Orillia, L3V3B9,94.0,31.0,"(21.0, 31.0]",1.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,oak terrace,,,,,Orillia,3543052.0,35.0,44.60302415,-79.43126489
6747 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,Yes,Yes,No,Yes,Niagara Falls, L2E6S5,153.0,51.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,oakwood park lodge,,,,,Niagara Falls,3526043.0,35.0,43.0769904,-79.11785895
"2229 Elm Avenue, R.R. #2",South West,Oneida Nation Of The Thames,,Non-Profit,No,Yes,Yes,No,Southwold, N0L2G0,64.0,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,oneida nation of the thames long-term care home (tsi' nu: yoyantle' na' tuhuwatisni),,,,,Oneida 41,3539021.0,35.0,42.81734514,-81.41178225
199 Glover Road,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8E5J2,45.0,19.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,orchard terrace care centre,,,,,Hamilton,3525005.0,35.0,43.21015079,-79.68313844
1955 Valley Farm Road,Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,Yes,Pickering, L1V3R6,233.0,67.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,orchard villa,74,69,<5,Active,Pickering,3518001.0,35.0,43.84623863,-79.0826885
130 Owen Street,North Simcoe Muskoka,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Barrie, L4M3H7,57.0,17.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,owen hill care community,14,6,10,Active,Barrie,3543042.0,35.0,44.3951391,-79.69019855
439 Second Street East,Champlain,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,No,Yes,Cornwall, K6H1Z2,65.0,31.0,"(21.0, 31.0]",1.0,20.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,parisien manor,,,,,Cornwall,3501012.0,35.0,45.02136413,-74.71865558
295 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),Park Lane Terrace Limited,Apans Health Services,For-Profit,No,Yes,Yes,Yes,Paris, N3L2N9,132.0,45.0,"(31.0, 46.0]",2.0,35.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,park lane terrace,,,,,Brant,3529005.0,35.0,43.21149506,-80.38916816
