,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
196,14 Cross Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1S8,33,"(31.0, 46.0]",2,9,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,fairview nursing home,,,,,Toronto,3520005,108,43.65,-79.43
197,7900 Mclaughlin Road South,Central West,Non-Profit,No,Yes,Yes,Yes,Brampton, L6Y5A7,39,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,faith manor nursing home,<5,0,<5,Active,Brampton,3521010,120,43.65,-79.74
198,44 Wychwood Crescent,Central East,For-Profit,No,Yes,Yes,Yes,Fenelon Falls, K0M1N0,18,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,fenelon court,,,,,Kawartha Lakes,3516010,67,44.53,-78.73
199,437 First Avenue P.O. Box 340,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Petrolia, N0N1R0,37,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,fiddick's nursing home,,,,,Petrolia,3538019,92,42.88,-82.14
200,1000 Ellesmere Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P5G2,43,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,fieldstone commons care community,,,,,Toronto,3520005,224,43.77,-79.28
201,233 Fourth Avenue,North East,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3B4C3,42,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,finlandia hoivakoti nursing home,0,0,<5,Active,Greater Sudbury / Grand Sudbury,3553005,112,46.48,-80.93
202,60 Westheights Drive,Waterloo Wellington,For-Profit,Yes,Yes,Yes,Yes,Kitchener, N2N2A8,101,"(46.0, 172.0]",3,39,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,forest heights,166,46,59,Active,Kitchener,3530013,240,43.43,-80.53
203,6501 Campeau Drive,Champlain,For-Profit,No,Yes,Yes,Yes,Kanata, K2K3E9,42,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,forest hill,,,,,Ottawa,3506008,160,45.31,-75.91
204,330 King Street West,Central East,For-Profit,Yes,Yes,Yes,Yes,Newcastle, L1B1G9,23,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,2,"(0.0, 5.0]",0,fosterbrooke,,,,,Toronto,3520005,88,43.65,-79.39
205,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,East York, M4A1W7,43,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,11,"(7.0, 11.0]",2,fountain view care community,0,0,<5,Active,Toronto,3520005,158,43.72,-79.30
206,389 West Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Brantford, N3R3V9,64,"(46.0, 172.0]",3,21,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,fox ridge care community,,,,,Brantford,3529006,122,43.16,-80.26
207,67 15th Street P.O. Box 1538,North East,Non-Profit,Yes,Yes,Yes,No,Hearst, P0L1N0,17,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,foyer des pionniers,,,,,Hearst,3556076,67,49.68,-83.68
208,655 Tanguay Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Welland, L3B6A1,43,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,foyer richelieu welland,,,,,Welland,3526032,63,42.99,-79.22
209,1003 Limoges Road South,Champlain,For-Profit,No,Yes,Yes,Yes,Limoges, K0A2M0,66,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,foyer st-viateur nursing home,,,,,The Nation / La Nation,3502025,57,45.29,-75.23
210,24 Franklin Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Leamington, N8H4B7,56,"(46.0, 172.0]",3,24,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,franklin gardens long term care home,<5,0,<5,Active,Leamington,3537003,120,42.03,-82.60
211,"9756 County Road, #2 P.O. Box 305",South East,For-Profit,No,Yes,No,Yes,Deseronto, K0K1X0,30,"(21.0, 31.0]",1,21,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,friendly manor nursing home,,,,,Greater Napanee,3511015,60,44.20,-77.04
212,225 Mary Street West,Central East,For-Profit,No,Yes,Yes,Yes,Lindsay, K9V5K3,22,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,frost manor,,,,,Kawartha Lakes,3516010,62,44.34,-78.75
213,439 Sherbourne Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M4X1K6,21,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,fudger house,<5,0,0,Active,Toronto,3520005,250,43.67,-79.37
214,168 Scott Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,St. Catharines, L2N1H2,56,"(46.0, 172.0]",3,22,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,garden city manor,<5,0,0,Active,St. Catharines,3526053,200,43.18,-79.25
215,1 Sand Beach Road,Toronto Central,For-Profit,No,Yes,Yes,No,Etobicoke, M8V2W2,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,garden court nursing home,,,,,Toronto,3520005,45,43.60,-79.50
216,100 Aird Place,Champlain,For-Profit,Yes,Yes,Yes,Yes,Kanata, K2L4H8,54,"(46.0, 172.0]",3,41,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,garden terrace,0,<5,<5,Active,Ottawa,3506008,160,45.31,-75.90
217,72 Town Centre Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Townsend, N0A1S0,18,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,2,"(0.0, 5.0]",0,gardenview long term care home,0,0,0,Active,Haldimand County,3528018,64,42.89,-80.14
218,200 Island Lodge Road,Champlain,Municipal,No,Yes,Yes,Yes,Ottawa, K1N5M2,69,"(46.0, 172.0]",3,52,"(23.0, 86.0]",3,21,"(11.0, 44.0]",3,garry j. armstrong home,,0,,Inactive,Ottawa,3506008,180,45.44,-75.68
219,671 Frank Street P.O. Box 10,South West,Municipal,No,Yes,Yes,No,Wiarton, N0H2T0,19,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,gateway haven long term care home,,,,,South Bruce Peninsula,3541055,100,44.74,-81.13
220,1115-10th Street East,South West,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K6B1,20,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,georgian heights,,,,,Owen Sound,3542059,40,44.57,-80.92
221,101 Thompsons Road,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,Penetanguishene, L9M0V3,22,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,georgian manor home for the aged,,,,,Penetanguishene,3543072,143,44.77,-79.92
222,500 Hogarth Avenue West,North West,Non-Profit,No,Yes,Yes,Yes,Geraldton, P0T1M0,13,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,geraldton district hospital,,,,,Greenstone,3558075,19,49.72,-86.95
223,50 Gilmore Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Fort Erie, L2A2M1,16,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,gilmore lodge,,,,,Fort Erie,3526003,80,42.92,-78.91
224,950 Bank Street,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K1S5G6,42,"(31.0, 46.0]",2,27,"(23.0, 86.0]",3,18,"(11.0, 44.0]",3,glebe centre,,,,,Ottawa,3506008,254,45.40,-75.69
225,26 Elgin Street,Central East,Non-Profit,No,Yes,No,Yes,Bowmanville, L1C3C8,24,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,glen hill marnwood,,,,,Clarington,3518017,60,43.92,-78.69
226,264 King Street East,Central East,Non-Profit,Yes,Yes,No,Yes,Bowmanville, L1C1P9,57,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,glen hill strathaven,<5,0,0,Active,Clarington,3518017,210,43.91,-78.67
227,1900 Montreal Road,Champlain,Municipal,Yes,Yes,Yes,Yes,Cornwall, K6H7L1,42,"(31.0, 46.0]",2,27,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,glen-stor-dun lodge,,,,,Cornwall,3501012,132,45.03,-74.68
228,80 Main Street P. O. Box 129,South West,Non-Profit,No,Yes,Yes,No,Lion's Head, N0H1W0,17,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,golden dawn nursing home,<5,0,0,Active,Northern Bruce Peninsula,3541069,45,44.99,-81.26
229,481 Melrose Boulevard,North East,Municipal,Yes,Yes,Yes,Yes,Timmins, P4N5H3,21,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,golden manor,<5,0,0,Active,Timmins,3556027,177,48.49,-81.34
230,983 Burnham Street,Central East,Municipal,No,Yes,Yes,Yes,Cobourg, K9A5J6,62,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,5,"(0.0, 5.0]",0,golden plough lodge,,,,,Cobourg,3514021,151,43.97,-78.20
231,704 Eagle Street North P.O. Box 3277,Waterloo Wellington,For-Profit,No,Yes,Yes,No,Cambridge, N3H4T3,56,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,golden years nursing home,0,0,<5,Active,Cambridge,3530010,88,43.40,-80.35
232,481 Victoria Street East,Central,For-Profit,No,Yes,No,Yes,Alliston, L9R1J8,14,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,good samaritan nursing home,,,,,New Tecumseth,3543007,64,44.16,-79.85
233,45 Kingknoll Drive,Central West,Non-Profit,No,Yes,Yes,Yes,Brampton, L6Y5P2,33,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,grace manor,42,11,25,Active,Brampton,3521010,120,43.65,-79.74
234,45 Lockton Crescent,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Hamilton, L8V4V5,79,"(46.0, 172.0]",3,24,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,grace villa nursing home,0,0,<5,Active,Hamilton,3525005,184,43.21,-79.85
235,657 Lock Street West,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Dunnville, N1A1V9,37,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,grandview lodge / dunnville,,,,,Haldimand County,3528018,128,42.91,-79.63
236,5501 Abbott Street East,Champlain,For-Profit,No,Yes,Yes,Yes,Stittsville, K2S2C5,34,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,granite ridge care community,,,,,Ottawa,3506008,224,45.27,-75.90
237,90 Greenwood Drive,South West,Non-Profit,No,Yes,No,No,Stratford, N5A7W5,20,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,3,"(0.0, 5.0]",0,greenwood court,,<5,,Inactive,Stratford,3531011,45,43.38,-80.98
238,206 Toronto Street South,South West,Municipal,No,Yes,Yes,No,Markdale, N0C1H0,40,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,grey gables home for the aged,,,,,Grey Highlands,3542015,66,44.31,-80.64
239,234 Cook Street,North Simcoe Muskoka,Non-Profit,No,Yes,No,Yes,Barrie, L4M4H5,22,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,grove park home for senior citizens,,,,,Barrie,3543042,143,44.41,-79.67
240,470 Raglan Street North,Champlain,For-Profit,Yes,Yes,Yes,Yes,Renfrew, K7V1P5,19,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,groves park lodge,,,,,Renfrew,3547048,90,45.48,-76.70
241,"R.R. #2, 603 Highway 49 Hallowell Township",South East,Municipal,No,Yes,Yes,Yes,Picton, K0K2T0,62,"(46.0, 172.0]",3,35,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,h.j. mcfarland memorial home,,,,,Prince Edward County,3513020,84,44.03,-77.14
242,13628 Loyalist Parkway,South East,For-Profit,No,Yes,Yes,Yes,Picton, K0K2T0,41,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,hallowell house,,0,,Inactive,Prince Edward County,3513020,97,43.99,-77.18
243,125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Hamilton, L8N2Z1,40,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,hamilton continuing care,,,,,Hamilton,3525005,64,43.25,-79.85
244,75 Plains Road West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7T1E8,31,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,hampton terrace care centre,,0,,Inactive,Burlington,3524002,101,43.31,-79.86
245,700-19th Avenue,South West,For-Profit,No,Yes,No,No,Hanover, N4N3S6,22,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,hanover care centre,,,,,Hanover,3542029,41,44.16,-81.02
246,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Brantford, N3T5L5,45,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,hardy terrace,,,,,Brant,3529005,101,43.09,-80.31
247,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M4A1W7,19,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,harmony hills care community,,,,,Toronto,3520005,160,43.72,-79.30
248,1 Northwestern Avenue,Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M6M2J7,21,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,harold and grace baker centre,8,13,17,Active,Toronto,3520005,120,43.70,-79.47
249,1 Manor Lane P.O. Box 758,South East,Municipal,Yes,Yes,Yes,Yes,Bancroft, K0L1C0,33,"(31.0, 46.0]",2,27,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,hastings centennial manor,,,,,Bancroft,3512061,110,45.06,-77.86
250,476 Dundas Street West P.O. Box 458,South East,Municipal,Yes,Yes,Yes,Yes,Belleville, K8N5B2,71,"(46.0, 172.0]",3,56,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,hastings manor home for the aged,6,<5,5,Active,Belleville,3512005,253,44.15,-77.41
251,9257 Goreway Drive,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6P0N5,58,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,hawthorn woods care community,,,,,Brampton,3521010,160,43.76,-79.69
252,2045 Finch Avenue West,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M3N1M9,85,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,hawthorne place care centre,45,31,77,Active,Toronto,3520005,269,43.76,-79.52
253,47 Ridge Road P.O. Box 1988,Champlain,Non-Profit,Yes,Yes,No,No,Deep River, K0J1P0,22,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,north renfrew long-term care services,,,,,,,21,46.10,-77.49
254,600 Lake Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,No,St. Catharines, L2N4J4,22,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,heidehof long term care home,,,,,St. Catharines,3526053,106,43.20,-79.25
255,343 Amherst Drive,South East,For-Profit,No,Yes,Yes,Yes,Amherstview, K7N1X3,59,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,helen henderson nursing home,,,,,Loyalist,3511005,104,44.23,-76.66
256,215 Tyrrel Avenue,Toronto Central,Non-Profit,No,Yes,No,Yes,Toronto, M6G4A9,20,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,hellenic care for seniors (toronto),,,,,Toronto,3520005,81,43.68,-79.43
257,2411 Lawrence Avenue East,Central East,Non-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P4X1,38,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,hellenic home - scarborough,44,14,21,Active,Toronto,3520005,128,43.75,-79.27
258,1961 Cedarhollow Blvd,South West,For-Profit,No,Yes,Yes,Yes,London, N5X0K2,61,"(46.0, 172.0]",3,43,"(23.0, 86.0]",3,18,"(11.0, 44.0]",3,henley place,<5,0,0,Active,London,3539036,192,43.05,-81.21
259,353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Stoney Creek, L8J2J3,61,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,heritage green nursing home,0,<5,0,Active,Hamilton,3525005,167,43.19,-79.79
260,11550 McNorton Street,Erie St. Clair,For-Profit,No,Yes,No,Yes,Windsor, N8P1T9,87,"(46.0, 172.0]",3,35,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,heron terrace long term care community,46,23,14,Active,Windsor,3537039,140,42.32,-82.90
261,7199 Gelert Road P.O. Box 115,Central East,Non-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,15,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,highland wood,,,,,Dysart et al,3546024,30,45.04,-78.53
262,255 Russell Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Midland, L4R5L6,23,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,hillcrest village care centre,,,,,Midland,3543074,164,44.75,-79.88
263,10 Nadolny Sachs Private,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K2A4G7,47,"(46.0, 172.0]",3,31,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,hillel lodge,,,,,Ottawa,3506008,121,45.38,-75.75
264,590 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,Oshawa, L1G5T9,52,"(46.0, 172.0]",3,31,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,hillsdale estates,,,,,Oshawa,3518013,300,43.91,-78.86
265,600 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,Oshawa, L1G5T9,57,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,hillsdale terraces,,13,,Inactive,Oshawa,3518013,200,43.92,-78.86
266,R. R. #5,South West,For-Profit,No,Yes,Yes,Yes,Stratford, N5A6S6,29,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,hillside manor,,0,,Inactive,Perth East,3531030,90,43.42,-81.10
267,1005 St Lawrence Street P.O. Box 430,South East,For-Profit,No,Yes,Yes,No,Merrickville, K0G1N0,41,"(31.0, 46.0]",2,12,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,hilltop manor nursing home (merrickville),,,,,Merrickville-Wolford,3507052,60,44.91,-75.83
268,300 Lillie Street,North West,Non-Profit,No,Yes,Yes,Yes,Thunder Bay, P7C4Y7,84,"(46.0, 172.0]",3,62,"(23.0, 86.0]",3,33,"(11.0, 44.0]",3,hogarth riverview manor,0,0,<5,Active,Thunder Bay,3558004,543,48.39,-89.27
269,20 Hope Street South,Central East,For-Profit,Yes,Yes,No,Yes,Port Hope, L1A2M8,41,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,hope street terrace,,,,,Port Hope,3514020,97,43.95,-78.29
270,278 Front Street P.O. Box 190,North East,Non-Profit,No,No,No,Yes,Hornepayne, P0M1Z0,11,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,hornepayne community hospital,,,,,Hornepayne,3557096,12,49.21,-84.77
271,95 Humber College Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,Rexdale, M9V5B5,34,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,3,"(0.0, 5.0]",0,humber valley terrace,46,9,18,Active,Toronto,3520005,158,43.73,-79.60
272,1881 Cabana Road West,Erie St. Clair,Municipal,Yes,Yes,No,Yes,Windsor, N9G1C7,44,"(31.0, 46.0]",2,26,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,huron lodge long term care home,,,,,Windsor,3537039,224,42.25,-83.02
273,820 Turnberry Street South,South West,Municipal,No,Yes,Yes,No,Brussels, N0G1H0,25,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,huronlea home for the aged,,,,,Morris-Turnberry,3540050,64,43.74,-81.26
274,77722A London Road R.R. #5,South West,Municipal,No,Yes,Yes,No,Clinton, N0M1L0,39,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,huronview home for the aged,,,,,Huron East,3540040,120,43.60,-81.53
275,6 McPherson Street P.O. Box 30,Central East,Municipal,Yes,Yes,Yes,Yes,Minden, K0M2K0,22,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,hyland crest,,,,,Minden Hills,3546015,62,44.93,-78.73
276,449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C2A7,58,"(46.0, 172.0]",3,19,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,idlewyld manor,<5,0,0,Active,Hamilton,3525005,192,43.24,-79.91
277,111 Iler Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Essex, N8M1T6,106,"(46.0, 172.0]",3,47,"(23.0, 86.0]",3,19,"(11.0, 44.0]",3,iler lodge,,,,,Essex,3537016,104,42.17,-82.82
278,40 Bell Estate Road,Central East,Non-Profit,No,No,Yes,Yes,Scarborough, M1L0E2,59,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,7,"(5.0, 7.0]",1,ina grafton gage home,43,26,30,Active,Toronto,3520005,128,43.71,-79.28
279,10 Brooks Street,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,No,Barrie, L4N7X2,30,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,ioof seniors home,,0,,Inactive,Barrie,3543042,182,44.37,-79.69
280,1755 Chiefswood Road P.O. Box 309,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,Yes,Ohsweken, N0A1M0,18,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,iroquois lodge nursing home,,,,,Six Nations (Part) 40,3529020,50,43.07,-80.12
281,155 Millwood Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M4S1J6,35,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,isabel and arthur meighen manor,61,42,45,Active,Toronto,3520005,168,43.70,-79.39
282,767 Royal York Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M8Y2T3,11,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,ivan franko home (etobicoke),0,0,<5,Active,Toronto,3520005,85,43.64,-79.51
283,97 Mount Pleasant Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Brantford, N3T1T5,25,"(21.0, 31.0]",1,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,john noble home,,,,,Brantford,3529006,156,43.13,-80.28
284,2675 Concession Road P. O. Bag 2007,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Kemptville, K0G1J0,13,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,kemptville district hospital,,,,,North Grenville,3507065,12,45.01,-75.64
285,1400 Kennedy Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P4V6,25,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,kennedy lodge,,,,,Toronto,3520005,289,43.76,-79.28
286,1340 Huron Street,South West,For-Profit,Yes,Yes,Yes,Yes,London, N5V3R3,69,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,3,"(0.0, 5.0]",0,kensington village,<5,5,<5,Active,London,3539036,78,43.02,-81.21
287,2 Ontario Street,South East,For-Profit,No,Yes,Yes,Yes,Picton, K0K2T0,27,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,kentwood park,,,,,Prince Edward County,3513020,45,44.00,-77.15
288,83 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Grimsby, L3M1N6,16,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,kilean lodge,,,,,Grimsby,3526065,50,43.19,-79.56
289,146 Fog Road,Central,For-Profit,No,Yes,Yes,Yes,King City, L7B1A3,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,king city lodge nursing home,,,,,King,3519049,36,43.97,-79.55
290,49 Sterne Street,Central West,For-Profit,Yes,Yes,Yes,Yes,Bolton, L7E1B9,55,"(46.0, 172.0]",3,22,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,king nursing home,,,,,Caledon,3521024,86,43.88,-79.74
291,310 Queen Street East R.R. #6,South West,For-Profit,Yes,Yes,Yes,No,St. Marys, N4X1C8,19,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,kingsway lodge nursing home,,,,,St. Marys,3531016,63,43.26,-81.14
292,2233 Kipling Avenue,Central West,Municipal,Yes,Yes,Yes,Yes,Etobicoke, M9W4L3,41,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,kipling acres,53,13,11,Active,Toronto,3520005,337,43.73,-79.57
293,50 William Street,South West,Non-Profit,Yes,Yes,Yes,No,Milverton, N0K1M0,14,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,knollcrest lodge,,,,,Perth East,3531030,78,43.57,-80.92
294,11290 Pine Valley Drive,Central,Non-Profit,Yes,Yes,No,No,Woodbridge, L4L1A6,18,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,kristus darzs latvian home,21,7,17,Active,Vaughan,3519028,100,43.87,-79.60
