home_name,Placements for referrals from all prior locations (days),Placements for referrals from community (days),Placements for referrals from hospital (days),Antipsychotic Medication Use (%),Pressure Ulcers (%),Falls (%),Physical Restraints Use (%),Depression (%),Pain (%),cleaned_home_name,matched,name1,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
Lapointe-Fisher Nursing Home Limited - Fairfield Park,161,146,LV,21.2,4.3,19.5,0.0,30.5,0.5,lapointe-fisher nursing home limited - fairfield park,True,fairfield park,1934 Dufferin Avenue,Erie St. Clair,For-Profit,No,Yes,No,No,Wallaceburg, N8A4M2,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fairfield park,,,,,Chatham-Kent,3536020.0,42.59425785,-82.41318124,99.0
Lapointe-Fisher Nursing Home Limited - Lapointe-Fisher Nursing Home,105,118,26.5,12.0,5.1,25.9,1.4,32.4,18.2,lapointe-fisher nursing home limited - lapointe-fisher nursing home,True,lapointe-fisher nursing home,271 Metcalfe Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1E4Y8,50.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,lapointe-fisher nursing home,,,,,Guelph,3523008.0,43.56346913,-80.25748785,92.0
Lutheran Homes Kitchener-Waterloo - Trinity Village Care Centre,196,205.5,LV,20.0,3.2,15.4,17.2,29.6,5.9,lutheran homes kitchener-waterloo - trinity village care centre,True,trinity village care centre,2727 Kingsway Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Kitchener, N2C1A7,54.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,trinity village care centre,29,14,38,Active,Kitchener,3530013.0,43.4298142,-80.4417755,150.0
Macgowan Nursing Homes Ltd. - Braemar Retirement Centre,26.5,24.5,25,22.2,3.9,16.5,9.0,18.4,3.7,macgowan nursing homes ltd. - braemar retirement centre,True,braemar retirement centre,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,No,Yes,No,Yes,Wingham, N0G2W0,39.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,braemar retirement centre,0,0,0,Active,Morris-Turnberry,3540050.0,43.90065854,-81.30031372,69.0
Manorcare Partners - Stirling Manor Nursing Home,105,100,147,21.3,4.5,20.1,0.0,33.2,11.6,manorcare partners - stirling manor nursing home,True,stirling manor nursing home,218 Edward Street P.O. Box 220,South East,For-Profit,No,Yes,No,Yes,Stirling, K0K3E0,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,stirling manor nursing home,,,,,Stirling-Rawdon,3512020.0,44.30226088,-77.54846075,75.0
Manorcare Partners Ii - Friendly Manor Nursing Home,129.5,LV,LV,28.7,2.8,17.8,0.6,16.9,6.4,manorcare partners ii - friendly manor nursing home,True,friendly manor nursing home,"9756 County Road, #2 P.O. Box 305",South East,For-Profit,No,Yes,No,Yes,Deseronto, K0K1X0,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,friendly manor nursing home,,,,,Greater Napanee,3511015.0,44.201206899999995,-77.0375329,60.0
Maplewood Nursing Home Limited - Cedarwood Village,107,120.5,243,23.4,5.4,23.9,34.0,33.2,6.1,maplewood nursing home limited - cedarwood village,True,cedarwood village,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Simcoe, N3Y4R4,34.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,cedarwood village,,,,,Norfolk County,3528052.0,42.8408326,-80.32971141,91.0
Maplewood Nursing Home Limited - Maple Manor Nursing Home,63,64.5,65,25.7,1.9,23.6,4.2,17.1,8.0,maplewood nursing home limited - maple manor nursing home,True,maple manor nursing home,73 Bidwell Street,South West,For-Profit,No,Yes,Yes,Yes,Tillsonburg, N4G3T8,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,maple manor nursing home,,,,,Tillsonburg,3532004.0,42.86006238,-80.72991974,106.0
Marianhill Inc. - Marianhill Nursing Home,252.5,239.5,LV,12.6,2.6,18.8,3.6,33.6,5.2,marianhill inc. - marianhill nursing home,True,marianhill nursing home,600 Cecelia Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Pembroke, K8A7Z3,32.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,marianhill nursing home,,,,,Pembroke,3547064.0,45.81487556,-77.10391504,139.0
Mariann Nursing Home and Residence - Mariann Home,447,658,LV,16.1,1.5,7.2,4.8,18.0,3.8,mariann nursing home and residence - mariann home,True,mariann home,9915 Yonge Street,Central,Non-Profit,No,Yes,Yes,Yes,Richmond Hill, L4C1V1,13.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,mariann home,,,,,Richmond Hill,3519038.0,43.86921402,-79.43615722,64.0
"Markhaven Inc. - Markhaven, Inc.",340.5,320,LV,16.8,3.5,18.3,1.1,22.0,6.1,"markhaven inc. - markhaven, inc.",False,markhaven,54 Parkway Avenue,Central,Non-Profit,No,No,Yes,No,Markham, L3P2G4,27.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,markhaven,9,17,16,Active,Markham,3519036.0,43.88371943,-79.25422906,96.0
MarycreSt. Home for the Aged - St. Joseph's At Fleming,489,511.5,307,6.0,2.5,18.7,13.4,36.1,3.0,marycrest. home for the aged - st. joseph's at fleming,True,st. joseph's at fleming,659 Brealey Drive,Central East,Non-Profit,No,Yes,Yes,Yes,Peterborough, K9K2R8,110.0,"(46.0, 172.0]",3.0,47.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,st. joseph's at fleming,<5,0,<5,Active,Peterborough,3515014.0,44.26877564,-78.36982641,200.0
Mccausland Hospital - Wilkes Terrace,LV,LV,NR,21.7,1.2,14.5,0.0,34.8,7.5,mccausland hospital - wilkes terrace,True,wilkes terrace,20B Cartier Road,North West,Non-Profit,No,Yes,Yes,Yes,Terrace Bay, P0T2W0,9.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,wilkes terrace,,,,,Terrace Bay,3558054.0,48.78045446,-87.10460125,22.0
Meadowview Villa - Lambton Meadowview Villa,64,45,161,25.9,2.4,17.4,8.7,9.5,3.9,meadowview villa - lambton meadowview villa,True,lambton meadowview villa,3958 Petrolia Line R. R. #4,Erie St. Clair,Municipal,No,Yes,Yes,No,Petrolia, N0N1R0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,lambton meadowview villa,,0,,Inactive,Enniskillen,3538016.0,42.88448582,-82.16482359,125.0
Meaford Nursing Home Limited - Meaford LTC Centre,51.5,59.5,27,17.2,1.4,12.2,0.0,25.6,18.7,meaford nursing home limited - meaford long term care centre,False,meaford long term care - a peoplecare community,135 William Street,South West,For-Profit,Yes,Yes,Yes,Yes,Meaford, N4L1T4,36.0,"(31.0, 46.0]",2.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,meaford long term care - a peoplecare community,,,,,Meaford,3542047.0,44.61169379,-80.60054596,77.0
Medlaw Corporation Limited - Bobcaygeon,181,188,181,15.4,3.1,21.6,12.7,41.7,10.7,medlaw corporation limited - bobcaygeon,False,pinecrest nursing home (bobcaygeon),3418 County Road 36 R.R. #2,Central East,For-Profit,No,Yes,Yes,No,Bobcaygeon, K0M1A0,20.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,pinecrest nursing home (bobcaygeon),33,29,32,Active,Kawartha Lakes,3516010.0,44.52836508,-78.53389679,65.0
Mennonite Brethren Senior Citizens Home - Mennonite Brethren Senior Citizens Home Oa Tabor Manor,126,135,NR,16.5,3.6,14.1,5.8,39.3,3.8,mennonite brethren senior citizens home - mennonite brethren senior citizens home oa tabor manor,False,mennonite brethren senior citizens home,1 Tabor Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,No,St Catharines, L2N1V9,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mennonite brethren senior citizens home,,,,,St. Catharines,3526053.0,43.1888487,-79.2335379,82.0
Meritas Care Corporation - Chateau Park LTC Home,114,98,LV,0.0,2.6,13.2,8.2,24.9,0.9,meritas care corporation - chateau park long term care home,True,chateau park long term care home,2990 B Riverside Drive West,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9C1A2,16.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,chateau park long term care home,,,,,Windsor,3537039.0,42.30747117,-83.07313582,59.0
Meritas Care Corporation - Franklin Gardens LTC Home,37,46,26.5,14.6,3.7,25.2,0.0,23.4,4.2,meritas care corporation - franklin gardens long term care home,True,franklin gardens long term care home,24 Franklin Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Leamington, N8H4B7,56.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,franklin gardens long term care home,<5,0,<5,Active,Leamington,3537003.0,42.03083044,-82.59816325,120.0
Meritas Care Corporation - Regency Park LTC Home,43.5,39.5,LV,29.9,2.4,10.4,19.1,20.3,35.4,meritas care corporation - regency park long term care home,True,regency park long term care home,567 Victoria Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4N1,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,regency park long term care home,,,,,Windsor,3537039.0,42.31362957,-83.03932361,72.0
Mirdem Nursing Homes Ltd. - Victoria Gardens LTC,39.5,77,44,23.9,3.0,16.9,9.6,28.2,11.8,mirdem nursing homes ltd. - victoria gardens ltc,False,victoria gardens long term care,176 Victoria Avenue North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L8L5G1,18.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,victoria gardens long term care,,,,,Hamilton,3525005.0,43.25834859,-79.8542586,76.0
Mississauga LTC Facility Inc. - Mississauga LTC Facility,80,87.5,49.5,30.3,6.6,16.8,1.8,10.5,4.0,mississauga long term care facility inc. - mississauga long term care facility,True,mississauga long term care facility,26 Peter Street North,Mississauga Halton,For-Profit,No,Yes,No,Yes,Mississauga, L5H2G7,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,mississauga long term care facility,,,,,Mississauga,3521005.0,43.54970386,-79.59094324,55.0
Mohawk Council of Akwesasne - Tsiionkwanonhsote,39.5,LV,LV,43.4,1.6,15.5,8.7,5.2,2.6,mohawk council of akwesasne - tsiionkwanonhsote,True,tsiionkwanonhsote,70 Kawehnoke Apartments Road,Champlain,Non-Profit,No,Yes,No,Yes,Akwesasne, K6H5R7,21.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,tsiionkwanonhsote,,,,,Akwesasne (Part) 59,3501007.0,45.0031277,-74.68694690000001,50.0
Mon Sheong Foundation - Mon Sheong Home For The Aged,610,1039,LV,17.0,2.5,11.3,6.3,4.6,4.4,mon sheong foundation - mon sheong home for the aged,True,mon sheong home for the aged,36 D'Arcy Street,Toronto Central,Non-Profit,Yes,Yes,No,No,Toronto, M5T1J7,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong home for the aged,23,32,16,Active,Toronto,3520005.0,43.65527498,-79.39314779,105.0
Mon Sheong Foundation - Mon Sheong Richmond Hill LTC Centre,963.5,933,LV,25.0,1.5,9.8,0.8,6.6,0.6,mon sheong foundation - mon sheong richmond hill long term care centre,True,mon sheong richmond hill long term care centre,11199 Yonge Street,Central,Non-Profit,Yes,Yes,Yes,No,Richmond Hill, L4S1L2,11.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong richmond hill long term care centre,,,,,Richmond Hill,3519038.0,43.90134473,-79.44320193,192.0
Mon Sheong Foundation - Mon Sheong Scarborough LTC Centre,703,649,LV,15.5,1.8,11.6,12.1,10.6,1.5,mon sheong foundation - mon sheong scarborough long term care centre,True,mon sheong scarborough long term care centre,2030 Mcnicoll Avenue,Central East,Non-Profit,Yes,Yes,Yes,No,Scarborough, M1V5P4,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mon sheong scarborough long term care centre,,,,,Toronto,3520005.0,43.81309612,-79.29999097,160.0
Municipality of Chatham-Kent - Riverview Gardens,95,96,77,32.8,4.2,20.1,6.5,26.0,6.6,municipality of chatham-kent - riverview gardens,True,riverview gardens,519 King Street West,Erie St. Clair,Municipal,Yes,Yes,Yes,No,Chatham, N7M1G8,104.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,riverview gardens,,,,,Chatham-Kent,3536020.0,42.39921553,-82.19474266,320.0
"Niagara Health System - Welland Hospital Site, Extended Care Unit",119.5,88.5,LV,20.1,3.1,18.8,11.5,10.3,20.6,"niagara health system - welland hospital site, extended care unit",False,"niagara health system, welland hospital site, extended care unit",155 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,Yes,St. Catharines, L2R5K3,30.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,"niagara health system, welland hospital site, extended care unit",,,,,Welland,3526032.0,42.97988177,-79.24856448,115.0
Niagara Ina Grafton Gage Village of The United Church - Niagara Ina Grafton Gage Village,42,42,NR,26.9,5.4,18.1,10.7,7.8,0.4,niagara ina grafton gage village of the united church - niagara ina grafton gage village,True,niagara ina grafton gage village,413 Linwell Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,St Catharines, L2M7Y2,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,niagara ina grafton gage village,,,,,St. Catharines,3526053.0,43.20027151,-79.22528859,40.0
Norfolk Hospital Nursing Home - The Norfolk Hospital Nursing Home,98.5,98.5,160,24.8,3.3,13.3,0.0,26.2,1.5,norfolk hospital nursing home - the norfolk hospital nursing home,True,the norfolk hospital nursing home,365 West Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Simcoe, N3Y1T7,12.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the norfolk hospital nursing home,,,,,Norfolk County,3528052.0,42.8351656,-80.31432431,80.0
North Centennial Manor Inc. - North Centennial Manor,962,LV,LV,21.0,1.0,9.1,7.5,30.3,10.5,north centennial manor inc. - north centennial manor,True,north centennial manor,2 Kimberly Drive,North East,Non-Profit,No,Yes,Yes,No,Kapuskasing, P5N1L5,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north centennial manor,,,,,Kapuskasing,3556066.0,49.42402834,-82.43174902,78.0
North Park Nursing Home Limited - North Park Nursing Home,69.5,87,LV,23.1,6.2,9.7,2.9,28.5,0.8,north park nursing home limited - north park nursing home,True,north park nursing home,450 Rustic Road,Central,For-Profit,No,Yes,Yes,Yes,North York, M6L1W9,25.0,"(21.0, 31.0]",1.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,north park nursing home,0,0,<5,Active,Toronto,3520005.0,43.71741799,-79.48214652,75.0
North Shore Health Network - LTC Unit,500.5,NR,435,10.7,1.5,6.4,0.0,18.6,11.0,north shore health network - long term care unit,False,north shore health network – ltc unit,525 Causley Street P. O. Box 970,North East,Non-Profit,No,Yes,Yes,Yes,Blind River, P0R1B0,15.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,north shore health network – ltc unit,,,,,,,,,22.0
North York General Hospital - Seniors' Health Centre,324,332,365,11.7,1.4,13.5,1.6,5.5,1.7,north york general hospital - seniors' health centre,True,seniors' health centre,2 Buchan Court,Central,Non-Profit,Yes,Yes,Yes,Yes,North York, M2J5A3,33.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,seniors' health centre,,,,,Toronto,3520005.0,43.77304721,-79.36002319,192.0
Norwood Nursing Home Limited - Norwood Nursing Home,133.5,120,LV,35.1,1.9,9.1,0.0,15.8,0.0,norwood nursing home limited - norwood nursing home,True,norwood nursing home,122 Tyndall Avenue,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6K2E2,15.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,norwood nursing home,<5,0,<5,Active,Toronto,3520005.0,43.63752278,-79.4293819,60.0
Omni Health Care Ltd. - Almonte Country Haven,100,98.5,64,7.2,3.0,21.3,15.7,20.9,4.6,omni health care ltd. - almonte country haven,True,almonte country haven,333 Country Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,Yes,Almonte, K0A1A0,49.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,almonte country haven,<5,28,13,Active,Mississippi Mills,3509030.0,45.2188403,-76.19075728,82.0
Omni Health Care Ltd. - Burnbrae Gardens LTC Residence,45,48,42,19.4,2.5,17.4,0.0,31.1,0.2,omni health care ltd. - burnbrae gardens long term care residence,True,burnbrae gardens long term care residence,320 Burnbrae Road East P.O. Box 1090,Central East,For-Profit,No,Yes,Yes,Yes,Campbellford, K0L1L0,28.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,burnbrae gardens long term care residence,,,,,Trent Hills,3514045.0,44.28480207,-77.84842135,43.0
Omni Health Care Ltd. - Country Terrace,39,60,26,6.7,0.5,16.4,1.9,26.3,1.3,omni health care ltd. - country terrace,True,country terrace,10072 Oxbow Drive R.R. #3,South West,For-Profit,Yes,Yes,No,Yes,Komoka, N0L1R0,83.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,country terrace,,,,,Middlesex Centre,3539033.0,42.95867137,-81.43757387,120.0
Omni Health Care Ltd. - Forest Hill,573,589,LV,22.8,3.6,13.7,6.8,17.4,4.7,omni health care ltd. - forest hill,True,forest hill,6501 Campeau Drive,Champlain,For-Profit,No,Yes,Yes,Yes,Kanata, K2K3E9,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,forest hill,,,,,Ottawa,3506008.0,45.31439133,-75.9096673,160.0
Omni Health Care Ltd. - Frost Manor,147,235.5,LV,22.4,2.2,21.5,1.6,27.6,4.3,omni health care ltd. - frost manor,True,frost manor,225 Mary Street West,Central East,For-Profit,No,Yes,Yes,Yes,Lindsay, K9V5K3,22.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,frost manor,,,,,Kawartha Lakes,3516010.0,44.342364,-78.747889,62.0
Omni Health Care Ltd. - Garden Terrace,542,535,LV,14.1,3.4,14.7,8.8,16.3,4.7,omni health care ltd. - garden terrace,True,garden terrace,100 Aird Place,Champlain,For-Profit,Yes,Yes,Yes,Yes,Kanata, K2L4H8,54.0,"(46.0, 172.0]",3.0,41.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,garden terrace,0,<5,<5,Active,Ottawa,3506008.0,45.30976033,-75.90097929999999,160.0
Omni Health Care Ltd. - Kentwood Park,53,60,37,15.8,2.3,14.2,11.0,18.6,5.8,omni health care ltd. - kentwood park,True,kentwood park,2 Ontario Street,South East,For-Profit,No,Yes,Yes,Yes,Picton, K0K2T0,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,kentwood park,,,,,Prince Edward County,3513020.0,44.00244715,-77.14847409,45.0
Omni Health Care Ltd. - Maplewood,91,79.5,113,30.7,2.1,13.3,0.0,30.9,2.0,omni health care ltd. - maplewood,True,maplewood,12 Maplewood Avenue Box 249,South East,For-Profit,No,Yes,Yes,Yes,Brighton, K0K1H0,25.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,maplewood,<5,0,0,Active,Brighton,3514004.0,44.039652600000004,-77.74441359999999,49.0
Omni Health Care Ltd. - Pleasant Meadow Manor,85,67,81,29.7,5.2,20.0,4.1,19.7,4.9,omni health care ltd. - pleasant meadow manor,True,pleasant meadow manor,99 Alma Street P. O. Box 426,Central East,For-Profit,No,Yes,Yes,Yes,Norwood, K0L2V0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,pleasant meadow manor,,,,,Asphodel-Norwood,3515003.0,44.37927558,-77.96791169,61.0
Omni Health Care Ltd. - Riverview Manor Nursing Home,157,153,182,22.4,2.7,9.8,2.7,17.0,0.4,omni health care ltd. - riverview manor nursing home,True,riverview manor nursing home,1155 Water Street,Central East,For-Profit,No,Yes,Yes,Yes,Peterborough, K9H3P8,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,riverview manor nursing home,,0,,Inactive,Peterborough,3515014.0,44.33636205,-78.3150222,124.0
Omni Health Care Ltd. - Rosebridge Manor,36.5,21,27.5,31.7,1.4,20.3,6.4,22.6,2.0,omni health care ltd. - rosebridge manor,True,rosebridge manor,131 Roses Bridge Road R. R. #2,South East,For-Profit,No,Yes,Yes,Yes,Jasper, K0G1G0,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,rosebridge manor,,0,,Inactive,Merrickville-Wolford,3507052.0,44.84219285,-75.89019625,78.0
Omni Health Care Ltd. - Springdale Country Manor,377,345,506,17.9,2.8,7.1,3.6,11.7,0.8,omni health care ltd. - springdale country manor,True,springdale country manor,2698 Clifford Line R. R. #5,Central East,For-Profit,No,Yes,Yes,Yes,Peterborough, K9J6X6,30.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,springdale country manor,,,,,Cavan Monaghan,3515013.0,44.23107203,-78.39679912,68.0
Omni Health Care Ltd. - Streamway Villa,164.5,91.5,183,16.4,1.4,11.2,0.0,23.9,3.9,omni health care ltd. - streamway villa,True,streamway villa,19 James Street West,Central East,For-Profit,No,Yes,No,Yes,Cobourg, K9A2J8,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,streamway villa,,,,,Cobourg,3514021.0,43.96205389,-78.16781002,59.0
Omni Health Care Ltd. - The Village Green Nursing Home,195,202,179,17.6,1.8,10.4,0.0,14.7,2.2,omni health care ltd. - the village green nursing home,True,the village green nursing home,166 Pleasant Drive P.O. Box 94,South East,For-Profit,No,Yes,Yes,Yes,Selby, K0K2Z0,28.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,the village green nursing home,,,,,Greater Napanee,3511015.0,44.30037081,-76.98430987,66.0
Omni Health Care Ltd. - The Willows Estate Nursing Home,96,84.5,LV,14.7,2.4,8.9,1.3,13.5,6.9,omni health care ltd. - the willows estate nursing home,True,the willows estate nursing home,13837 Yonge Street,Central,For-Profit,No,Yes,No,Yes,Aurora, L4G3G8,23.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,the willows estate nursing home,,,,,Aurora,3519046.0,43.96549464,-79.45862614,84.0
Omni Health Care Ltd. - Woodland Villa,53,116,43,15.9,0.9,13.2,9.7,16.3,3.1,omni health care ltd. - woodland villa,True,woodland villa,30 Milles Roches Road R. R. #1,Champlain,For-Profit,No,Yes,Yes,Yes,Long Sault, K0C1P0,44.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,woodland villa,<5,0,0,Active,South Stormont,3501011.0,45.03376712,-74.88721694,111.0
Oneida Nation of The Thames - Tsi'Nu:Yoyantle Na'Tuhuwatisni,75,75,LV,17.3,2.6,17.8,1.1,31.6,4.5,oneida nation of the thames - tsi'nu:yoyantle na'tuhuwatisni,False,oneida nation of the thames long-term care home (tsi' nu: yoyantle' na' tuhuwatisni),"2229 Elm Avenue, R.R. #2",South West,Non-Profit,No,Yes,Yes,No,Southwold, N0L2G0,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,oneida nation of the thames long-term care home (tsi' nu: yoyantle' na' tuhuwatisni),,,,,Oneida 41,3539021.0,42.81734514,-81.41178225,64.0
Parkview Health Care Partnership - Parkview Nursing Centre,91,118.5,50,22.5,2.7,19.7,2.5,13.2,2.0,parkview health care partnership - parkview nursing centre,True,parkview nursing centre,545 King Street West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L8P1C1,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,parkview nursing centre,,,,,Hamilton,3525005.0,43.26103249,-79.88486411,126.0
Parkview Meadows Christian Retirement Village - Gardenview LTC Home,219.5,219.5,NR,20.1,3.3,29.5,3.4,6.6,11.9,parkview meadows christian retirement village - gardenview long term care home,True,gardenview long term care home,72 Town Centre Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Townsend, N0A1S0,18.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,2.0,"(0.0, 5.0]",0.0,gardenview long term care home,0,0,0,Active,Haldimand County,3528018.0,42.88836551,-80.14081206,64.0
Peoplecare Inc. - Delhi LTC,49,49,LV,12.0,3.8,16.6,0.0,38.2,4.5,peoplecare inc. - delhi ltc,False,delhi long term care centre,750 Gibraltar Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Delhi, N4B3B3,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,delhi long term care centre,,,,,Norfolk County,3528052.0,42.842040600000004,-80.4905752,60.0
