index,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
343,MAPLE VILLA LONG TERM CARE CENTRE,441 Maple Avenue,"Burlington, L7S1L8",Hamilton Niagara Haldimand Brant (Hnhb),Dallov Holdings Limited,,For-Profit,Home with approximately 93 beds,No,Yes,Yes,Yes,,Burlington, L7S1L8,93.0,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maple villa long term care centre,,,,,,,,
344,MAPLEWOOD,12 Maplewood Avenue Box 249,"Brighton, K0K1H0",South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 49 beds,No,Yes,Yes,Yes,,Brighton, K0K1H0,49.0,25.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,maplewood,99.0,Maplewood,Brighton,49.0,<5,0,0,Active
346,MARIANHILL NURSING HOME,600 Cecelia Street,"Pembroke, K8A7Z3",Champlain,Marianhill Inc.,,Non-Profit,Home with approximately 139 beds,Yes,Yes,Yes,Yes,,Pembroke, K8A7Z3,139.0,32.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,marianhill nursing home,,,,,,,,
347,MARIANN HOME,9915 Yonge Street,"Richmond Hill, L4C1V1",Central,Mariann Nursing Home And Residence,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,Yes,,Richmond Hill, L4C1V1,64.0,13.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,mariann home,,,,,,,,
348,MARKHAVEN,54 Parkway Avenue,"Markham, L3P2G4",Central,"Markhaven, Inc.",,Non-Profit,Home with approximately 96 beds,No,No,Yes,No,,Markham, L3P2G4,96.0,27.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,markhaven,100.0,Markhaven,Markham,96.0,9,17,16,Active
349,MARSHALL GOWLAND MANOR,749 Devine Street,"Sarnia, N7T1X3",Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 126 beds,No,Yes,Yes,No,,Sarnia, N7T1X3,126.0,61.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,marshall gowland manor,,,,,,,,
350,MAUNO KAIHLA KOTI,723 North Street,"Sault Ste Marie, P6B6G8",North East,The Ontario-finnish Resthome Association,,Non-Profit,Home with approximately 63 beds,Yes,Yes,Yes,No,,Sault Ste Marie, P6B6G8,63.0,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,mauno kaihla koti,,,,,,,,
351,MAXVILLE MANOR,80 Mechanic Street West,"Maxville, K0C1T0",Champlain,Maxville Manor,,Non-Profit,Home with approximately 122 beds,Yes,Yes,Yes,No,,Maxville, K0C1T0,122.0,32.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,maxville manor,,,,,,,,
352,MAYNARD NURSING HOME,28 Halton Street,"Toronto, M6J1R3",Toronto Central,Schlegel Villages Inc,,For-Profit,Home with approximately 77 beds,No,Yes,Yes,Yes,,Toronto, M6J1R3,77.0,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maynard nursing home,101.0,Maynard Nursing Home,Toronto,77.0,0,0,0,Active
353,MCCALL CENTRE LONG TERM CARE INTERIM UNIT,140 SHERWAY DRIVE,"ETOBICOKE, M9C1A4",Mississauga Halton,The Credit Valley Hospital & Trillium Health Cntr,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 21 beds,No,Yes,No,Yes,,ETOBICOKE, M9C1A4,21.0,11.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mccall centre long term care interim unit,31.0,McCall Centre Long Term Care Interim Unit,Etobicoke,21.0,,0,,Inactive
354,MCCORMICK HOME,2022 Kains Road,"London, N6K0A8",South West,The Women's Christian Association Of London,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,London, N6K0A8,160.0,47.0,"(46.0, 172.0]",3.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,mccormick home,,,,,,,,
355,MCGARRELL PLACE,355 McGarrell Drive,"London, N6G0B1",South West,Axr Operating (National) Lp,,For-Profit,Home with approximately 157 beds,No,Yes,Yes,Yes,,London, N6G0B1,157.0,48.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,mcgarrell place,,,,,,,,
356,MEADOW PARK (LONDON),1210 Southdale Road East,"London, N6E1B4",South West,Meadow Park (London) Inc.,,For-Profit,Home with approximately 126 beds,Yes,Yes,Yes,Yes,,London, N6E1B4,126.0,88.0,"(46.0, 172.0]",3.0,48.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,meadow park (london),102.0,Meadow Park (London),London,126.0,<5,<5,8,Active
357,MEADOW PARK NURSING HOME (CHATHAM),110 Sandys Street,"Chatham, N7L4X3",Erie St. Clair,Meadow Park (Chatham) Inc.,,For-Profit,Home with approximately 99 beds,Yes,Yes,Yes,Yes,,Chatham, N7L4X3,99.0,19.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,meadow park nursing home (chatham),,,,,,,,
358,MEAFORD LONG TERM CARE - A PEOPLECARE COMMUNITY,135 William Street,"Meaford, N4L1T4",South West,Meaford Nursing Home Limited,,For-Profit,Home with approximately 77 beds,Yes,Yes,Yes,Yes,,Meaford, N4L1T4,77.0,36.0,"(31.0, 46.0]",2.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,meaford long term care - a peoplecare community,,,,,,,,
359,MENNONITE BRETHREN SENIOR CITIZENS HOME,1 Tabor Drive,"St Catharines, L2N1V9",Hamilton Niagara Haldimand Brant (Hnhb),Mennonite Brethren Senior Citizens Home,,Non-Profit,Home with approximately 82 beds,Yes,Yes,Yes,No,,St Catharines, L2N1V9,82.0,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mennonite brethren senior citizens home,,,,,,,,
360,MIDDLESEX TERRACE,2094 Gideon Drive R.R. #1,"Delaware, N0L1E0",South West,Middlesex Terrace Limited,Apans Health Services,For-Profit,Home with approximately 105 beds,No,Yes,Yes,Yes,,Delaware, N0L1E0,105.0,43.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,middlesex terrace,,,,,,,,
361,MIDLAND GARDENS CARE COMMUNITY,130 Midland Avenue,"Scarborough, M1N4B2",Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 299 beds,Yes,Yes,Yes,Yes,,Scarborough, M1N4B2,299.0,80.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,33.0,"(11.0, 44.0]",3.0,midland gardens care community,103.0,Midland Gardens Care Community,Scarborough,299.0,21,<5,8,Active
362,MILL CREEK CARE CENTRE,286 Hurst Drive,"Barrie, L4N0Z3",North Simcoe Muskoka,Mill Creek Care Centre,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,Barrie, L4N0Z3,160.0,35.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mill creek care centre,,,,,,,,
363,MILLENNIUM TRAIL MANOR,6861 Oakwood Drive,"Niagara Falls, L2E6S5",Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Niagara Falls, L2E6S5,160.0,50.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,millennium trail manor,,,,,,,,
364,MIRAMICHI LODGE,725 Pembroke Street West,"Pembroke, K8A8S6",Champlain,County Of Renfrew,,Municipal,Home with approximately 166 beds,Yes,Yes,Yes,Yes,,Pembroke, K8A8S6,166.0,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,miramichi lodge,32.0,Miramichi Lodge,Pembroke,166.0,,0,,Inactive
365,MISSISSAUGA LONG TERM CARE FACILITY,26 Peter Street North,"Mississauga, L5H2G7",Mississauga Halton,Mississauga Long Term Care Facility Inc.,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,,Mississauga, L5H2G7,55.0,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,mississauga long term care facility,,,,,,,,
366,MITCHELL NURSING HOME,"184 Napier Street, S.S. #1","Mitchell, N0K1N0",South West,Ritz Lutheran Villa,,Non-Profit,Home with approximately 48 beds,No,Yes,Yes,No,,Mitchell, N0K1N0,48.0,34.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,mitchell nursing home,,,,,,,,
367,MOIRA PLACE LONG-TERM CARE HOME,415 River Street West P.O. Box 200,"Tweed, K0K3J0",South East,Aon Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Tweed, K0K3J0,128.0,37.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,moira place long-term care home,33.0,Moira Place Long-Term Care Home,Tweed,128.0,,0,,Inactive
368,MON SHEONG HOME FOR THE AGED,36 D'Arcy Street,"Toronto, M5T1J7",Toronto Central,Mon Sheong Foundation,,Non-Profit,Home with approximately 105 beds,Yes,Yes,No,No,,Toronto, M5T1J7,105.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong home for the aged,104.0,Mon Sheong Home for the Aged,Toronto,105.0,23,32,16,Active
369,MON SHEONG RICHMOND HILL LONG TERM CARE CENTRE,11199 Yonge Street,"Richmond Hill, L4S1L2",Central,Mon Sheong Foundation,,Non-Profit,Home with approximately 192 beds,Yes,Yes,Yes,No,,Richmond Hill, L4S1L2,192.0,11.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong richmond hill long term care centre,,,,,,,,
370,MON SHEONG SCARBOROUGH LONG TERM CARE CENTRE,2030 Mcnicoll Avenue,"Scarborough, M1V5P4",Central East,Mon Sheong Foundation,,Non-Profit,Home with approximately 160 beds,Yes,Yes,Yes,No,,Scarborough, M1V5P4,160.0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mon sheong scarborough long term care centre,,,,,,,,
371,MONTFORT,705 Montreal Road,"Ottawa, K1K0M9",Champlain,Revera Long Term Care Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Ottawa, K1K0M9,128.0,87.0,"(46.0, 172.0]",3.0,51.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,montfort,105.0,Montfort,Ottawa,128.0,63,27,18,Active
372,MORRISTON PARK NURSING HOME,7363 Calfass Road R. R. #2,"Puslinch, N0B2J0",Waterloo Wellington,Retirement Home Specialists Incorporated,,For-Profit,Home with approximately 28 beds,No,Yes,No,No,,Puslinch, N0B2J0,28.0,20.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,morriston park nursing home,,,,,,,,
373,MOUNT HOPE CENTRE FOR LONG TERM CARE,21 Grosvenor Street P.O. Box 5777,"London, N6A1Y6",South West,"St. Joseph's Health Care, London",,Non-Profit,Home with approximately 177 beds,Yes,Yes,Yes,Yes,,London, N6A1Y6,177.0,87.0,"(46.0, 172.0]",3.0,44.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,mount hope centre for long term care,34.0,Mount Hope Centre for Long Term Care,London,394.0,,0,,Inactive
374,MOUNT NEMO CHRISTIAN NURSING HOME,4486 Guelph Line,"Burlington, L7P0N2",Hamilton Niagara Haldimand Brant (Hnhb),Canadian Reformed Society For A Home For The Aged Inc.,,Non-Profit,Home with approximately 61 beds,No,Yes,Yes,Yes,,Burlington, L7P0N2,61.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,mount nemo christian nursing home,,,,,,,,
375,MUSKOKA LANDING,65 Rogers Cove Drive,"Huntsville, P1H2L9",North Simcoe Muskoka,Huntsville Long Term Care Centre Inc.,,For-Profit,Home with approximately 94 beds,Yes,Yes,Yes,Yes,,Huntsville, P1H2L9,94.0,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,muskoka landing,,,,,,,,
376,MUSKOKA SHORES CARE COMMUNITY,200 Kelly Drive,"Gravenhurst, P1P1P3",North Simcoe Muskoka,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,Home with approximately 183 beds,No,Yes,Yes,Yes,,Gravenhurst, P1P1P3,183.0,43.0,"(31.0, 46.0]",2.0,29.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,muskoka shores care community,,,,,,,,
377,"NIAGARA HEALTH SYSTEM, WELLAND HOSPITAL SITE, EXTENDED CARE UNIT",155 Ontario Street,"St. Catharines, L2R5K3",Hamilton Niagara Haldimand Brant (Hnhb),Niagara Health System,,Non-Profit,Home with approximately 115 beds,No,Yes,No,Yes,,St. Catharines, L2R5K3,115.0,30.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,"niagara health system, welland hospital site, extended care unit",,,,,,,,
378,NIAGARA INA GRAFTON GAGE VILLAGE,413 Linwell Road,"St Catharines, L2M7Y2",Hamilton Niagara Haldimand Brant (Hnhb),Niagara Ina Grafton Gage Home Of The United Church,,Non-Profit,Home with approximately 40 beds,No,Yes,Yes,No,,St Catharines, L2M7Y2,40.0,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,niagara ina grafton gage village,,,,,,,,
379,NIAGARA LONG TERM CARE RESIDENCE,120 Wellington Street P.O. Box 985,"Niagara-On-The-Lake, L0S1J0",Hamilton Niagara Haldimand Brant (Hnhb),"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,,Niagara-On-The-Lake, L0S1J0,124.0,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,niagara long term care residence,,,,,,,,
380,NIPIGON DISTRICT MEMORIAL HOSPITAL,125 Hogan Road P O Box 37,"Nipigon, P0T2J0",North West,Nipigon District Memorial Hospital,,Non-Profit,Home with approximately 15 beds,No,Yes,No,Yes,,Nipigon, P0T2J0,15.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,nipigon district memorial hospital,,,,,,,,
381,NIPISSING MANOR NURSING CARE CENTER,1202 Highway 94,"Corbeil, P0H1K0",North East,1895357 Ontario Inc.,,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Corbeil, P0H1K0,120.0,20.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,nipissing manor nursing care center,,,,,,,,
382,NISBET LODGE,740 Pape Avenue,"Toronto, M4K3S7",Toronto Central,Nisbet Lodge,,Non-Profit,Home with approximately 103 beds,No,Yes,Yes,Yes,,Toronto, M4K3S7,103.0,13.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,nisbet lodge,,,,,,,,
383,NITHVIEW HOME,200 Boullee Street,"New Hamburg, N3A2K4",Waterloo Wellington,Tri-county Mennonite Homes,,Non-Profit,Home with approximately 99 beds,No,Yes,Yes,No,,New Hamburg, N3A2K4,99.0,46.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,nithview home,,,,,,,,
384,NORFINCH CARE COMMUNITY,22 Norfinch Drive,"North York, M3N1X1",Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,North York, M3N1X1,160.0,17.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,norfinch care community,,,,,,,,
385,NORTH CENTENNIAL MANOR,2 Kimberly Drive,"Kapuskasing, P5N1L5",North East,North Centennial Manor Inc.,,Non-Profit,Home with approximately 78 beds,No,Yes,Yes,No,,Kapuskasing, P5N1L5,78.0,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north centennial manor,,,,,,,,
386,NORTH LAMBTON LODGE,39 Morris Street R.R. #6,"Forest, N0N1J0",Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,Home with approximately 88 beds,No,Yes,Yes,No,,Forest, N0N1J0,88.0,27.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,north lambton lodge,,,,,,,,
387,NORTH PARK NURSING HOME,450 Rustic Road,"North York, M6L1W9",Central,North Park Nursing Home Limited,Assured Care Consulting Inc.,For-Profit,Home with approximately 75 beds,No,Yes,Yes,Yes,,North York, M6L1W9,75.0,25.0,"(21.0, 31.0]",1.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,north park nursing home,106.0,North Park Nursing Home,North York,75.0,0,0,<5,Active
388,NORTH RENFREW LONG-TERM CARE SERVICES,47 Ridge Road P.O. Box 1988,"Deep River, K0J1P0",Champlain,North Renfrew Long-term Care Services Inc.,,Non-Profit,Home with approximately 21 beds,Yes,Yes,No,No,,Deep River, K0J1P0,21.0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north renfrew long-term care services,,,,,,,,
389,NORTH SHORE HEALTH NETWORK – ELDCAP UNIT,525 Causley Street P.O. Box 970,"Blind River, P0R1B0",North East,North Shore Health Network,,Non-Profit,Home with approximately 10 beds,No,Yes,No,Yes,,Blind River, P0R1B0,10.0,12.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,north shore health network – eldcap unit,,,,,,,,
390,NORTH SHORE HEALTH NETWORK – LTC UNIT,525 Causley Street P. O. Box 970,"Blind River, P0R1B0",North East,North Shore Health Network,,Non-Profit,Home with approximately 22 beds,No,Yes,Yes,Yes,,Blind River, P0R1B0,22.0,15.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,north shore health network – ltc unit,,,,,,,,
391,NORTHLAND POINTE,2 Fielden Avenue,"Port Colborne, L3K6G4",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 151 beds,No,Yes,No,Yes,,Port Colborne, L3K6G4,151.0,31.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,northland pointe,,,,,,,,
392,NORTHRIDGE,496 Postridge Drive,"Oakville, L6H7A2",Mississauga Halton,Axr Operating (National) Lp,,For-Profit,Home with approximately 133 beds,No,Yes,Yes,Yes,,Oakville, L6H7A2,133.0,35.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,northridge,35.0,Northridge,Oakville,133.0,,0,,Inactive
394,NORTHVIEW NURSING HOME,77 River Road P.O. Box 1139,"Englehart, P0J1H0",North East,675412 Ontario Inc.,,For-Profit,Home with approximately 48 beds,Yes,Yes,No,Yes,,Englehart, P0J1H0,48.0,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,northview nursing home,107.0,Northview Nursing Home,Englehart,48.0,<5,0,0,Active
395,NORTHWOOD LODGE,51 Highway 105 P.O. Box 420,"Red Lake, P0V2M0",North West,Board Of Management Of The District Of Kenora,,Municipal,Home with approximately 32 beds,No,Yes,Yes,No,,Red Lake, P0V2M0,32.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,northwood lodge,,,,,,,,
396,NORVIEW LODGE,44 Rob Blake Way,"Simcoe, N3Y0E3",Hamilton Niagara Haldimand Brant (Hnhb),The Corporation Of Norfolk County,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,,Simcoe, N3Y0E3,180.0,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,norview lodge,36.0,Norview Lodge,Simcoe,179.0,,0,,Inactive
397,NORWOOD NURSING HOME,122 Tyndall Avenue,"Toronto, M6K2E2",Toronto Central,Norwood Nursing Home Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Toronto, M6K2E2,60.0,15.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,norwood nursing home,108.0,Norwood Nursing Home,Toronto,60.0,<5,0,<5,Active
398,OAK TERRACE,291 Mississaga Street West,"Orillia, L3V3B9",North Simcoe Muskoka,Revera Long Term Care Inc.,,For-Profit,Home with approximately 94 beds,No,Yes,Yes,Yes,,Orillia, L3V3B9,94.0,31.0,"(21.0, 31.0]",1.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,oak terrace,,,,,,,,
399,OAKWOOD PARK LODGE,6747 Oakwood Drive,"Niagara Falls, L2E6S5",Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,Home with approximately 153 beds,Yes,Yes,No,Yes,,Niagara Falls, L2E6S5,153.0,51.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,oakwood park lodge,,,,,,,,
400,ONEIDA NATION OF THE THAMES LONG-TERM CARE HOME (TSI' NU: YOYANTLE' NA' TUHUWATISNI),"2229 Elm Avenue, R.R. #2","Southwold, N0L2G0",South West,Oneida Nation Of The Thames,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Southwold, N0L2G0,64.0,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,oneida nation of the thames long-term care home (tsi' nu: yoyantle' na' tuhuwatisni),,,,,,,,
401,ORCHARD TERRACE CARE CENTRE,199 Glover Road,"Stoney Creek, L8E5J2",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,,Stoney Creek, L8E5J2,45.0,19.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,orchard terrace care centre,,,,,,,,
402,ORCHARD VILLA,1955 Valley Farm Road,"Pickering, L1V3R6",Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 233 beds,No,Yes,Yes,Yes,,Pickering, L1V3R6,233.0,67.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,orchard villa,109.0,Orchard Villa,Pickering,233.0,74,69,<5,Active
403,OWEN HILL CARE COMMUNITY,130 Owen Street,"Barrie, L4M3H7",North Simcoe Muskoka,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 57 beds,No,Yes,Yes,Yes,,Barrie, L4M3H7,57.0,17.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,owen hill care community,110.0,Owen Hill Care Community,Barrie,57.0,14,6,10,Active
404,PARISIEN MANOR,439 Second Street East,"Cornwall, K6H1Z2",Champlain,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 65 beds,No,Yes,No,Yes,,Cornwall, K6H1Z2,65.0,31.0,"(21.0, 31.0]",1.0,20.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,parisien manor,,,,,,,,
405,PARK LANE TERRACE,295 Grand River Street North,"Paris, N3L2N9",Hamilton Niagara Haldimand Brant (Hnhb),Park Lane Terrace Limited,Apans Health Services,For-Profit,Home with approximately 132 beds,No,Yes,Yes,Yes,,Paris, N3L2N9,132.0,45.0,"(31.0, 46.0]",2.0,35.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,park lane terrace,,,,,,,,
406,PARKVIEW HOME LONG-TERM CARE,123 Weldon Road,"Stouffville, L4A0G8",Central,The Mennonite Home Association As York County,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Stouffville, L4A0G8,128.0,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,parkview home long-term care,,,,,,,,
407,PARKVIEW MANOR HEALTH CARE CENTRE,98-3rd Street South East P.O. Box 298,"Chesley, N0G1L0",South West,Grosvenor Health Care Partnership (No. 3),Extendicare (Canada) Inc.,For-Profit,Home with approximately 34 beds,No,Yes,Yes,Yes,,Chesley, N0G1L0,34.0,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,parkview manor health care centre,111.0,Parkview Manor Health Care Centre,Chesley,34.0,<5,0,0,Active
408,PARKVIEW NURSING CENTRE,545 King Street West,"Hamilton, L8P1C1",Hamilton Niagara Haldimand Brant (Hnhb),The Parkview Health Care Partnership On Behalf Of 593405 Ontario Limited As General Partner,Metcap Living Management Inc./Gestion Residentielle Metcap Inc.,For-Profit,Home with approximately 126 beds,No,Yes,Yes,Yes,,Hamilton, L8P1C1,126.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,parkview nursing centre,,,,,,,,
409,PARKWOOD MENNONITE HOME,726 New Hampshire Street,"Waterloo, N2K4M1",Waterloo Wellington,Parkwood Mennonite Home Inc.,,Non-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Waterloo, N2K4M1,96.0,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,parkwood mennonite home,,,,,,,,
