name,cleaned_name,address,LHIN,home_type,city,postal_code,short_stay,residents_council,family_council,accreditation,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,antipsychotic_percent,depression_percent,falls_percent,pressure_ulcers_percent,pain_percent,restraints_percent,confirmed_resident_cases,resident_deaths,confirmed_staff_cases,status,number_beds,CSDname,CSDuid,latitude,longitude
DERBECKER'S HERITAGE HOUSE,derbecker's heritage house,54 Eby Street,Waterloo Wellington,For-Profit,St. Jacobs, N0B2N0,No,Yes,No,No,10,6,3,1,1,1,4,2,2,0,0,0,20.3,34.8,15.2,2,1.9,0,,,,,73,Woolwich,3530035,43.54089651,-80.54914374
DOWNSVIEW LONG TERM CARE CENTRE,downsview long term care centre,3595 Keele Street,Central,For-Profit,North York, M3J1M7,Yes,Yes,Yes,Yes,64,23,7,38,10,5,7,2,1,17,8,1,26.8,14.4,11.7,1.7,0,3.4,66,52,70,Active,252,Toronto,3520005,43.7511842,-79.48559573
HARDY TERRACE,hardy terrace,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Brantford, N3T5L5,Yes,Yes,Yes,Yes,47,21,13,20,7,5,16,7,5,14,7,5,25,19,17,4.6,9.7,6.6,,,,,101,Brant,3529005,43.0876862,-80.3068167
PERTH COMMUNITY CARE CENTRE,perth community care centre,101 Christie Lake Road R. R. #4,South East,For-Profit,Perth, K7H3C6,No,Yes,Yes,Yes,40,24,14,12,6,4,11,10,6,12,4,3,11.4,41.3,18.2,3.8,8,15.3,,,,,121,Tay Valley,3509015,44.90433714,-76.27097938
TILBURY MANOR NURSING HOME,tilbury manor nursing home,16 Fort Street P.O. Box 160,Erie St. Clair,For-Profit,Tilbury, N0P2L0,Yes,Yes,Yes,Yes,33,20,7,16,6,2,9,7,3,3,3,0,31.6,34.9,13.5,3.3,0.7,0,,,,,75,Chatham-Kent,3536020,42.25877139,-82.43044492
VILLA MARCONI,villa marconi,1026 Baseline Road,Champlain,Non-Profit,Ottawa, K2C0A6,No,Yes,Yes,Yes,53,40,21,25,16,10,16,13,7,8,8,5,23.7,16.8,14.5,4.7,6.9,1,,0,,Inactive,128,Ottawa,3506008,45.36599844,-75.72703304
WEST PARK HEALTH CENTRE,west park health centre,103 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,St Catharines, L2S1S9,Yes,Yes,Yes,Yes,49,23,11,22,7,5,6,5,4,19,8,3,28.1,27.1,28.6,5.8,4.9,2.6,<5,<5,0,Active,101,St. Catharines,3526053,43.140947,-79.2508643
THOMPSON HOUSE,thompson house,1 Overland Drive,Central,Non-Profit,North York, M3C2C3,No,Yes,Yes,No,16,12,7,6,2,2,4,4,4,6,4,3,21.3,19.3,14.4,3.2,1.2,37.2,0,0,<5,Active,136,Toronto,3520005,43.7324901,-79.34677178
SHERBOURNE PLACE,sherbourne place,345 Sherbourne Street,Toronto Central,Non-Profit,Toronto, M5A2S3,Yes,Yes,No,Yes,31,17,5,14,6,2,9,3,1,4,4,1,19.8,22.3,8.5,1.8,2.7,3.8,19,19,10,Active,126,Toronto,3520005,43.66267759,-79.37266528
WELLESLEY CENTRAL PLACE,wellesley central place,160 Wellesley Street East,Toronto Central,Non-Profit,Toronto, M4Y1J2,Yes,Yes,Yes,Yes,36,24,10,18,11,3,13,9,6,5,4,2,17.5,17.1,10.3,1.7,1,2.2,28,18,10,Active,150,Toronto,3520005,43.66687279,-79.37566588
DUNDAS MANOR NURSING HOME,dundas manor nursing home,533 Clarence Street P.O. Box 970,Champlain,Non-Profit,Winchester, K0C2K0,No,Yes,Yes,Yes,40,26,14,9,4,3,17,13,9,8,4,1,21.2,21,23.7,2.9,12,8.1,,,,,98,North Dundas,3501030,45.08860351,-75.3555682
EASTHOLME HOME FOR THE AGED,eastholme home for the aged,62 Big Bend Avenue P.O. Box 400,North East,Municipal,Powassan, P0H1Z0,No,Yes,Yes,No,18,12,4,4,2,0,9,6,3,1,1,1,19.5,35.6,18.3,2.1,12,3.4,0,0,<5,Active,128,Powassan,3549060,46.0786957,-79.3588835
EDEN HOUSE NURSING HOME,eden house nursing home,5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,For-Profit,Guelph, N1H6H8,No,Yes,Yes,Yes,17,12,7,3,3,2,3,3,2,3,2,0,17.1,30.4,24,1.9,12.4,0,,,,,59,Guelph/Eramosa,3523009,43.58078794,-80.16785633
BOBIER VILLA,bobier villa,1 Bobier Lane,South West,Municipal,Dutton, N0L1J0,Yes,Yes,Yes,No,19,8,2,4,3,1,10,1,0,0,0,0,25.5,33.2,12.5,3,14.4,9.8,,,,,57,Dutton/Dunwich,3534030,42.66709281,-81.51387127
ELGIN MANOR,elgin manor,39262 Fingal Line R. R. #1,South West,Municipal,St. Thomas, N5P3S5,Yes,Yes,Yes,No,35,16,11,2,2,2,28,11,9,0,0,0,21.2,27.8,20.1,2.2,17.3,12.6,,,,,90,Southwold,3534024,42.76901044,-81.23754879
TERRACE LODGE,terrace lodge,475 Talbot Street East 49462 Talbot Line,South West,Municipal,Aylmer, N5H3A5,Yes,Yes,Yes,No,33,22,12,10,6,2,15,10,9,3,2,1,12.1,37.3,20.4,5.6,12.5,16.4,,,,,100,Malahide,3534010,42.7710963,-80.9682813
ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC),espanola general hospital (operating as espanola nursing home-ltc),825 Mckinnon Drive,North East,Non-Profit,Espanola, P5E1R4,No,Yes,Yes,Yes,16,12,4,2,2,1,7,3,2,3,3,0,19.6,10.4,6.9,1.3,5.6,10.9,,,,,32,Espanola,3552026,46.2484521,-81.7808318
EHATARE NURSING HOME,ehatare nursing home,40 Old Kingston Road,Central East,Non-Profit,Scarborough, M1E3J5,No,Yes,Yes,No,9,5,2,1,0,0,1,1,1,1,0,0,9.1,15.3,18.2,3.7,3,0,,0,,Inactive,32,Toronto,3520005,43.77551412,-79.18320493
BAYFIELD MANOR,bayfield manor,100 Elvira Street P.O. Bag 3000,Champlain,For-Profit,Kemptville, K0G1J0,No,Yes,Yes,No,22,17,4,3,2,0,7,7,3,5,4,0,18.2,24.8,22.2,5,8.5,7.2,,,,,66,North Grenville,3507065,45.01874519,-75.65323739
EXTENDICARE BAYVIEW,extendicare bayview,550 Cummer Avenue,Central,For-Profit,North York, M2K2M2,Yes,Yes,Yes,Yes,34,11,4,13,3,1,11,2,2,5,2,0,16.9,7.4,12.5,2.4,1.5,1.2,40,12,<5,Active,205,Toronto,3520005,43.79341251,-79.3906724
BENNETT HEALTH CARE CENTRE,bennett health care centre,1 Princess Anne Drive,Mississauga Halton,Non-Profit,Georgetown, L7G2B8,No,Yes,Yes,Yes,24,14,6,8,3,2,8,4,3,6,6,3,19.7,38,20.4,2.1,6.1,0.7,<5,0,0,Active,66,Halton Hills,3524015,43.64477486,-79.93394806
BIRCHWOOD TERRACE,birchwood terrace,237 Lakeview Drive R. R. #1,North West,For-Profit,Kenora, P9N4J7,Yes,Yes,Yes,Yes,53,31,14,19,10,5,19,9,5,20,17,6,17.5,25.3,18.8,4.9,7,14.1,,,,,96,Kenora,3560010,49.76559284,-94.504978
BLACKADAR CONTINUING CARE CENTRE,blackadar continuing care centre,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Dundas, L9H3B7,No,Yes,No,No,31,19,9,10,3,1,4,3,2,11,9,6,25.4,18.1,19.2,3.8,13.3,5.3,,0,,Inactive,80,Hamilton,3525005,43.26120069,-79.96830854
EXTENDICARE BRAMPTON,extendicare brampton,7891 Mclaughlin Road,Central West,For-Profit,Brampton, L6Y5H8,No,Yes,Yes,Yes,26,17,10,13,6,4,3,3,3,8,7,4,27,14.8,21.3,3.2,8.4,2.4,11,<5,6,Active,150,Brampton,3521010,43.65536347,-79.7356338
CHELSEY PARK,chelsey park,310 Oxford Street West,South West,For-Profit,London, N6H4N6,Yes,Yes,Yes,Yes,73,36,16,24,12,3,38,19,11,5,2,1,21.1,37.1,20.2,4.9,4.5,6.9,0,0,<5,Active,247,London,3539036,42.98760838,-81.27670392
EXTENDICARE COBOURG,extendicare cobourg,130 New Densmore Road,Central East,For-Profit,Cobourg, K9A5W2,No,Yes,Yes,Yes,42,20,7,20,9,3,11,6,3,5,0,0,16.3,48.4,14.5,2.9,7,0,,,,,69,Cobourg,3514021,43.9837753,-78.17209322
COUNTRY LANE LONG TERM CARE RESIDENCE,country lane long term care residence,"R. R. #3, 317079 Hwy 6 & 10",South West,For-Profit,Chatsworth, N0H1G0,No,Yes,Yes,Yes,21,8,2,5,1,0,6,1,1,7,3,0,28.9,30.4,25.8,1.3,7.2,0,,,,,34,Chatsworth,3542037,44.4657069,-80.9030782
COUNTRY VILLAGE HOMES - WOODSLEE,country village homes - woodslee,440 County Road 8 R. R. #2,Erie St. Clair,For-Profit,Woodslee, N0R1V0,No,Yes,Yes,Yes,62,25,9,33,12,4,17,9,3,6,2,1,23,41.9,14.1,4.2,3.2,6.7,,18,,Inactive,104,Kingsville,3537013,42.1724111,-82.7212974
CRAIGLEE NURSING HOME,craiglee nursing home,102 Craiglee Drive,Central East,For-Profit,Scarborough, M1N2M7,No,Yes,Yes,Yes,65,26,17,35,15,11,18,4,4,12,8,6,18.3,15.7,13.4,2.7,6.4,2,<5,<5,5,Active,169,Toronto,3520005,43.706865,-79.25329325
DEARNESS HOME FOR SENIOR CITIZENS,dearness home for senior citizens,710 Southdale Road East,South West,Municipal,London, N6E1R8,Yes,Yes,Yes,Yes,76,33,16,30,12,6,39,18,10,3,1,0,21.3,35.3,21.6,2.3,1.5,1.1,,,,,243,London,3539036,42.94410837,-81.2242039
F. J. DAVEY HOME,f. j. davey home,733 Third Line East,North East,Non-Profit,Sault Ste Marie, P6A7C1,No,Yes,Yes,Yes,65,25,10,28,8,4,15,9,4,22,6,2,18.9,38.6,18.5,5,3.1,12.9,,,,,374,Sault Ste. Marie,3557061,46.5521221,-84.3119845
EXTENDICARE FALCONBRIDGE,extendicare falconbridge,281 Falconbridge Road,North East,For-Profit,Sudbury, P3A5K4,Yes,Yes,Yes,Yes,67,40,19,24,15,7,22,13,7,18,13,6,22.8,19.6,18.1,3.2,7.5,1.9,,,,,234,Greater Sudbury / Grand Sudbury,3553005,46.50713379,-80.93753367
GEORGIAN HEIGHTS,georgian heights,1115-10th Street East,South West,For-Profit,Owen Sound, N4K6B1,No,Yes,Yes,Yes,20,9,4,3,0,0,5,2,2,13,8,3,25.2,35.3,13,2.7,9.6,0,,,,,40,Owen Sound,3542059,44.56929937,-80.92272196
EXTENDICARE GUILDWOOD,extendicare guildwood,60 Guildwood Parkway,Central East,For-Profit,Scarborough, M1E1N9,Yes,Yes,Yes,Yes,39,18,10,16,2,2,12,6,3,12,10,5,20.2,8.4,18.9,3,1.7,0.1,54,31,17,Active,169,Toronto,3520005,43.74686311,-79.20313123
EXTENDICARE HALIBURTON,extendicare haliburton,167 Park Street P.O. Box 780,Central East,For-Profit,Haliburton, K0M1S0,No,Yes,Yes,Yes,20,13,6,6,2,2,4,4,3,8,5,2,24.1,28.4,28.9,2.8,20.9,0,,,,,60,Dysart et al,3546024,45.051712,-78.502471
EXTENDICARE HALTON HILLS,extendicare halton hills,9 Lindsay Court,Mississauga Halton,For-Profit,Georgetown, L7G6G9,No,Yes,Yes,Yes,46,24,10,27,12,4,8,3,2,13,11,7,25.5,30.6,21.1,2.9,2.8,6.5,0,0,<5,Active,130,Halton Hills,3524015,43.64922616,-79.94812796
EXTENDICARE HAMILTON,extendicare hamilton,90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Hamilton, L9C7S6,No,Yes,Yes,Yes,42,20,8,20,7,2,10,4,4,9,6,1,22.3,13.9,16.3,2.2,14.2,1.8,,0,,Inactive,160,Hamilton,3525005,43.23730029,-79.92136612
HAMILTON CONTINUING CARE,hamilton continuing care,125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Hamilton, L8N2Z1,No,Yes,No,Yes,42,21,8,14,3,1,13,6,3,13,10,3,13.5,41.4,21,4.1,7.8,0,,,,,64,Hamilton,3525005,43.24791349,-79.8504795
HOPE STREET TERRACE,hope street terrace,20 Hope Street South,Central East,For-Profit,Port Hope, L1A2M8,Yes,Yes,No,Yes,41,22,10,8,4,2,19,11,6,6,1,1,15.3,33.2,18.7,3.8,9.3,3.8,,,,,97,Port Hope,3514020,43.95459039,-78.28837976
EXTENDICARE KAPUSKASING,extendicare kapuskasing,45 Ontario Street P.O. Box 460,North East,For-Profit,Kapuskasing, P5N2Y5,Yes,Yes,Yes,Yes,29,21,13,9,8,6,11,7,7,1,1,1,19.6,16.2,14.4,1.5,7,3.7,,,,,61,Kapuskasing,3556066,49.41769224,-82.41017831
EXTENDICARE KAWARTHA LAKES,extendicare kawartha lakes,125 Colborne Street East,Central East,For-Profit,Lindsay, K0L2V0,No,Yes,No,Yes,15,10,4,3,1,0,6,5,3,1,1,0,7,19.8,15.2,2.8,4.9,4.6,,,,,64,Kawartha Lakes,3516010,44.36383334,-78.72369584
EXTENDICARE KINGSTON,extendicare kingston,309 Queen Mary Road,South East,For-Profit,Kingston, K7M6P4,No,Yes,Yes,Yes,28,15,4,7,2,1,12,7,2,4,2,0,7.7,22.8,17.3,0.9,11.4,2.4,,,,,150,Kingston,3510010,44.23934601,-76.53531092
EXTENDICARE KIRKLAND LAKE,extendicare kirkland lake,155 Government Road East,North East,For-Profit,Kirkland Lake, P2N3P4,Yes,Yes,Yes,Yes,22,16,5,5,3,1,8,5,2,3,3,0,20,22.2,18.4,1.9,20.2,0.8,,,,,100,Kirkland Lake,3554068,48.15597609,-80.02268375
EXTENDICARE LAKEFIELD,extendicare lakefield,19 Fraser Street,Central East,For-Profit,Lakefield, K0L2H0,Yes,Yes,Yes,Yes,19,13,4,6,5,2,5,2,1,5,2,0,16.3,18.1,20.9,3.7,15.4,1.3,,0,,Inactive,100,Selwyn,3515015,44.42419477,-78.2815351
LAKESIDE LONG TERM CARE CENTRE,lakeside long term care centre,150 Dunn Avenue,Toronto Central,Non-Profit,Toronto, M6K2R6,Yes,Yes,Yes,Yes,14,9,4,6,3,2,2,1,1,1,0,0,25,4.5,15,2.8,0,1.2,,,,,128,Toronto,3520005,43.636584,-79.433168
EXTENDICARE LAURIER MANOR,extendicare laurier manor,1715 Montreal Road,Champlain,For-Profit,Gloucester, K1J6N4,No,Yes,Yes,Yes,85,52,15,41,24,6,34,20,8,5,5,0,25.1,36.4,19.7,1.3,2.9,9.6,<5,25,<5,Active,242,Ottawa,3506008,45.44640676,-75.61084101
EXTENDICARE LONDON,extendicare london,860 Waterloo Street,South West,For-Profit,London, N6A3W6,Yes,Yes,Yes,Yes,61,25,12,29,10,3,24,11,7,3,1,1,11.3,15,19,2.9,14.4,0,,,,,170,London,3539036,43.00042548,-81.24860602
MAITLAND MANOR,maitland manor,290 South Street,South West,For-Profit,Goderich, N7A4G6,Yes,Yes,Yes,Yes,35,21,10,12,6,3,16,9,5,7,5,4,21,28.8,21.4,5.1,12.9,4.8,<5,0,0,Active,91,Goderich,3540028,43.73314149,-81.71190013
MANITOULIN CENTENNIAL MANOR HOME FOR THE AGED,manitoulin centennial manor home for the aged,70 Robinson Street Postal Bag 460,North East,Municipal,Little Current, P0P1K0,No,Yes,No,No,26,12,6,7,2,1,11,5,3,10,3,1,7.3,27.4,20,1,5.2,0,,,,,60,Northeastern Manitoulin and the Islands,3551017,45.98389625,-81.93648973
MANOIR MAROCHEL,manoir marochel,949 Montreal Road,Champlain,For-Profit,Ottawa, K1K0S6,No,Yes,Yes,No,115,68,22,29,14,4,34,18,10,43,30,4,24.5,12.3,16,4.6,0.3,3.1,28,7,13,Active,64,Ottawa,3506008,45.44785486,-75.62821042
EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,extendicare maple view of sault ste. marie,650 Northern Avenue,North East,For-Profit,Sault Ste. Marie, P6B4J3,No,Yes,Yes,Yes,46,39,24,16,14,10,16,12,7,17,15,7,32.1,20.3,23.9,2.5,4.5,11,,0,,Inactive,256,Sault Ste. Marie,3557061,46.5350635,-84.30335325
EXTENDICARE MEDEX,extendicare medex,1865 Baseline Road,Champlain,For-Profit,Ottawa, K2C3K6,No,Yes,No,Yes,64,38,20,24,14,8,28,19,9,6,4,2,27.5,10,22.4,3.3,10.8,9.8,,,,,193,Ottawa,3506008,45.35435184,-75.75821985
EXTENDICARE MISSISSAUGA,extendicare mississauga,855 John Watt Boulevard,Mississauga Halton,For-Profit,Mississauga, L5W1G2,No,Yes,Yes,Yes,22,12,6,10,5,3,8,4,3,3,1,0,21.6,8.6,17.5,1.5,2.1,0,,,,,140,Mississauga,3521005,43.63238897,-79.72791359
MITCHELL NURSING HOME,mitchell nursing home,"184 Napier Street, S.S. #1",South West,Non-Profit,Mitchell, N0K1N0,No,Yes,Yes,No,34,10,5,14,5,2,9,2,2,6,1,1,21.3,30.1,18.4,5.3,10.3,6.5,,,,,48,West Perth,3531025,43.47396537,-81.20189084
EXTENDICARE NEW ORCHARD LODGE,extendicare new orchard lodge,99 New Orchard Avenue,Champlain,For-Profit,Ottawa, K2B5E6,No,Yes,No,Yes,30,18,6,12,9,3,14,6,3,0,0,0,7.3,21.4,16.5,0,14.8,4.2,,,,,111,Ottawa,3506008,45.37526254,-75.77907516
ORCHARD VILLA,orchard villa,1955 Valley Farm Road,Central East,For-Profit,Pickering, L1V3R6,No,Yes,Yes,Yes,69,38,14,30,14,7,20,8,4,20,16,4,24.5,28.4,20.4,3.6,7.4,1.2,<5,69,7,Active,233,Pickering,3518001,43.84623863,-79.0826885
EXTENDICARE OSHAWA,extendicare oshawa,82 Park Road North,Central East,For-Profit,Oshawa, L1J4L1,Yes,Yes,Yes,Yes,41,28,8,13,9,4,18,11,3,5,2,0,19.2,17.7,18.1,2.3,15.5,3.4,,0,,Inactive,175,Oshawa,3518013,43.89733765,-78.87514724
PARISIEN MANOR,parisien manor,439 Second Street East,Champlain,For-Profit,Cornwall, K6H1Z2,No,Yes,No,Yes,31,20,10,18,11,6,7,4,2,2,2,2,27.6,35.4,16.4,3.8,3.5,19.1,,,,,65,Cornwall,3501012,45.02136413,-74.71865558
PARKVIEW MANOR HEALTH CARE CENTRE,parkview manor health care centre,98-3rd Street South East P.O. Box 298,South West,For-Profit,Chesley, N0G1L0,No,Yes,Yes,Yes,17,11,7,5,1,1,3,2,2,8,8,4,5.7,32.4,13.5,5.1,8,0,,0,,Inactive,34,Arran-Elderslie,3541043,44.2983199,-81.091335
EXTENDICARE PETERBOROUGH,extendicare peterborough,80 Alexander Avenue,Central East,For-Profit,Peterborough, K9J6B4,Yes,Yes,Yes,Yes,31,20,11,13,7,4,10,7,5,3,2,1,17,15.7,19.7,0.8,12,0.5,,,,,174,Peterborough,3515014,44.29856245,-78.34564511
PINECREST (PLANTAGENET),pinecrest (plantagenet),101 Parent Street P.O. Box 250,Champlain,For-Profit,Plantagenet, K0B1L0,No,Yes,Yes,No,50,32,12,20,12,6,18,10,4,4,2,0,15.2,41,21,1.5,2.1,0,23,11,<5,Active,60,Alfred and Plantagenet,3502023,45.5420141,-74.99812112
EXTENDICARE PORT HOPE,extendicare port hope,360 Croft Street,Central East,For-Profit,Port Hope, L1A4K8,No,Yes,Yes,Yes,29,21,5,12,5,2,9,8,3,5,4,0,11.1,18.7,20.6,2.4,7,4.7,,,,,128,Port Hope,3514020,43.96724219,-78.28414406
PORT PERRY PLACE,port perry place,15941 Simcoe Street,Central East,For-Profit,Port Perry, L9L1N5,No,Yes,Yes,Yes,50,27,6,28,16,4,12,7,2,8,4,1,6,15.1,7.9,2,3.3,0,,,,,107,Scugog,3518020,44.11144499,-78.95044579
EXTENDICARE PORT STANLEY,extendicare port stanley,4551 East Road,South West,For-Profit,Port Stanley, N5L1J6,Yes,Yes,Yes,Yes,31,18,8,7,2,0,12,6,4,8,7,4,26.4,29.8,25.5,5,13.1,2.1,,,,,60,Central Elgin,3534020,42.67066023,-81.20881357
RIDEAUCREST HOME,rideaucrest home,175 Rideau Street,South East,Municipal,Kingston, K7K3H6,No,Yes,Yes,Yes,69,42,20,24,13,9,33,21,9,8,3,1,15.9,30.2,18.6,2.8,0.4,3.1,,,,,170,Kingston,3510010,44.23807732,-76.4823285
RITZ LUTHERAN VILLA,ritz lutheran villa,"Part Lot 16, Con 2, Logan Twn R.R. #5",South West,Non-Profit,Mitchell, N0K1N0,No,Yes,Yes,No,66,24,10,36,13,3,15,6,5,11,5,2,2.9,19,12.8,3.5,9.7,2.6,,,,,85,West Perth,3531025,43.478586,-81.191192
EXTENDICARE ROUGE VALLEY,extendicare rouge valley,551 Conlins Road,Central East,For-Profit,Toronto, M1B5S1,Yes,Yes,Yes,Yes,35,23,11,14,9,3,9,6,4,7,5,2,21.9,12.4,17.8,1.9,8,0.4,,0,,Inactive,192,Toronto,3520005,43.80332132,-79.18867764
EXTENDICARE SCARBOROUGH,extendicare scarborough,3830 Lawrence Avenue East,Central East,For-Profit,Scarborough, M1G1R6,Yes,Yes,Yes,Yes,31,15,6,15,6,3,8,2,1,5,4,1,26.5,12.5,14.8,3.5,3.5,0,40,14,22,Active,154,Toronto,3520005,43.76375641,-79.21012454
SOUTHLAKE RESIDENTIAL CARE VILLAGE,southlake residential care village,640 Grace Street,Central,Non-Profit,Newmarket, L3Y2L1,No,Yes,Yes,Yes,49,18,13,25,6,4,10,4,4,11,5,3,25,22,12,1.5,2.4,0.8,,0,,Inactive,224,Newmarket,3519048,44.05931585,-79.45092944
EXTENDICARE SOUTHWOOD LAKES,extendicare southwood lakes,1255 North Talbot Road,Erie St. Clair,For-Profit,Windsor, N9G3A4,No,Yes,Yes,Yes,100,30,14,71,19,9,19,5,4,3,2,1,17.9,12.1,22.4,3.3,12.7,0,0,0,<5,Active,150,Windsor,3537039,42.24130106,-82.97743668
EXTENDICARE ST. CATHARINES,extendicare st. catharines,283 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,St. Catharines, L2S1X7,No,Yes,Yes,Yes,27,16,9,11,5,5,9,4,3,7,6,2,17.3,25.7,18,2.3,1.3,3.4,,,,,153,St. Catharines,3526053,43.1300249,-79.2583408
EXTENDICARE STARWOOD,extendicare starwood,114 Starwood Road,Champlain,For-Profit,Nepean, K2G3N5,No,Yes,Yes,Yes,54,26,14,25,12,6,21,10,7,5,1,1,23.1,27.6,20.7,0.5,6.6,3.4,,0,,Inactive,192,Ottawa,3506008,45.35366004,-75.75058715
EXTENDICARE TECUMSEH,extendicare tecumseh,2475 St. Alphonse Street,Erie St. Clair,For-Profit,Tecumseh, N8N2X2,No,Yes,Yes,Yes,68,29,16,45,13,6,17,12,9,3,2,2,23,26.3,16.8,4.6,12.7,2.2,,0,,Inactive,128,Tecumseh,3537048,42.28214117,-82.88283156
TENDERCARE LIVING CENTRE,tendercare living centre,1020 McNicoll Avenue,Central East,For-Profit,Scarborough, M1W2J6,No,Yes,No,Yes,35,17,8,15,6,3,11,4,3,10,7,2,17.8,7.4,14.1,2,0,1.3,,<5,,Inactive,254,Toronto,3520005,43.80577041,-79.33598338
THE PINES,the pines,98 Pine Street,North Simcoe Muskoka,Municipal,Bracebridge, P1L1N5,No,Yes,No,Yes,13,10,5,1,0,0,6,5,4,2,2,0,19.2,28.6,26.6,3.2,2.2,1.7,,,,,160,Bracebridge,3544018,45.05169583,-79.29822038
EXTENDICARE TIMMINS,extendicare timmins,62 St-Jean Avenue,North East,For-Profit,Timmins, P4R0A6,No,Yes,Yes,Yes,39,25,9,14,8,3,13,7,4,11,9,1,31.2,21.2,14.7,2,19.4,0,,0,,Inactive,180,Timmins,3556027,48.47746467,-81.37922804
EXTENDICARE TRI-TOWN,extendicare tri-town,143 Bruce Street P.O. Box 999,North East,For-Profit,Haileybury, P0J1K0,Yes,Yes,Yes,Yes,17,12,5,7,4,2,2,2,1,3,2,2,15.8,11.7,12.4,0.8,2.1,0,,,,,60,Temiskaming Shores,3554020,47.4407208,-79.63014404
EXTENDICARE VAN DAELE,extendicare van daele,39 Van Daele Street,North East,For-Profit,Sault Ste Marie, P6B4V3,Yes,Yes,Yes,Yes,22,12,9,6,4,4,6,3,3,4,2,1,18.4,9.9,26.3,1.3,10.8,0.5,,,,,100,Sault Ste. Marie,3557061,46.5295084,-84.32443156
VILLA COLOMBO HOMES FOR THE AGED,villa colombo homes for the aged,40 Playfair Avenue,Central,Non-Profit,Toronto, M6B2P9,Yes,Yes,Yes,Yes,54,33,14,20,11,6,23,13,7,13,11,3,17.7,23.9,9.3,1.9,0.4,6.9,9,<5,11,Active,391,Toronto,3520005,43.71064079,-79.45648501
WARKWORTH PLACE,warkworth place,97 Mill Street P.O. Box 68,Central East,For-Profit,Warkworth, K0K3K0,Yes,Yes,No,Yes,24,13,4,10,7,3,8,3,1,3,1,0,11.3,33.1,14.5,4.5,1.5,9,,,,,60,Trent Hills,3514045,44.19868555,-77.89304385
WELLINGTON HOUSE NURSING HOME,wellington house nursing home,990 Edward Street North P.O. Box 1510,South East,For-Profit,Prescott, K0E1T0,No,Yes,Yes,No,57,17,7,28,7,4,15,5,2,17,2,0,9.9,16,22.4,4.5,7.6,0,,,,,60,Prescott,3507008,44.71934,-75.51915
EXTENDICARE WEST END VILLA,extendicare west end villa,2179 Elmira Drive,Champlain,For-Profit,Ottawa, K2C3S1,No,Yes,Yes,Yes,104,57,20,56,32,10,41,21,9,5,1,1,25.9,7.6,20.8,4.4,7.9,3,,0,,Inactive,242,Ottawa,3506008,45.35438354,-75.77592346
WEST PARK LONG TERM CARE CENTRE,west park long term care centre,82 Buttonwood Avenue,Toronto Central,Non-Profit,Toronto, M6M2J5,Yes,Yes,Yes,Yes,63,30,13,41,18,7,12,6,4,14,7,5,17.7,9.5,15.6,1,5,3.1,41,25,11,Active,200,Toronto,3520005,43.68933979,-79.50788773
WYNDHAM MANOR LONG TERM CARE CENTRE,wyndham manor long term care centre,291 Reynolds Street,Mississauga Halton,Non-Profit,Oakville, L6J3L5,No,Yes,Yes,Yes,35,9,7,12,2,2,12,3,3,8,2,2,21.2,26,16.9,1.8,3.1,4.3,<5,0,<5,Active,128,Oakville,3524001,43.45245024,-79.67269066
EXTENDICARE YORK,extendicare york,333 York Street,North East,For-Profit,Sudbury, P3E5J3,Yes,Yes,Yes,Yes,63,34,14,24,11,5,23,12,6,16,10,2,27.4,13.1,21.3,4.2,16.7,5.1,,0,,Inactive,288,Greater Sudbury / Grand Sudbury,3553005,46.47514368,-81.00771419
FIDDICK'S NURSING HOME,fiddick's nursing home,437 First Avenue P.O. Box 340,Erie St. Clair,For-Profit,Petrolia, N0N1R0,No,Yes,Yes,Yes,37,23,12,16,10,3,12,7,5,3,3,2,35.2,7.7,14.2,2.9,25.3,0,,,,,92,Petrolia,3538019,42.877897,-82.135951
FINLANDIA HOIVAKOTI NURSING HOME LIMITED,finlandia hoivakoti nursing home,233 Fourth Avenue,North East,For-Profit,Sudbury, P3B4C3,Yes,Yes,Yes,Yes,42,18,7,16,4,2,14,8,3,7,5,1,21.7,18.9,22.1,1.8,2.4,1.2,,0,,Inactive,112,Greater Sudbury / Grand Sudbury,3553005,46.48424888,-80.92711026
FOYER DES PIONNIERS,foyer des pionniers,67 15th Street P.O. Box 1538,North East,Non-Profit,Hearst, P0L1N0,Yes,Yes,Yes,No,19,14,8,1,0,0,8,6,6,3,3,1,21.2,16.4,14.9,0.9,30.7,8.3,,,,,67,Hearst,3556076,49.6848447,-83.67961927
