index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
164,EXTENDICARE HALIBURTON,167 Park Street P.O. Box 780,"Haliburton, K0M1S0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Haliburton, K0M1S0,60,20.0,13.0,6.0,6.0,2.0,2.0,4.0,4.0,3.0,8.0,5.0,2.0
165,EXTENDICARE HALTON HILLS,9 Lindsay Court,"Georgetown, L7G6G9",Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 130 beds,No,Yes,Yes,Yes,,Georgetown, L7G6G9,130,46.0,24.0,10.0,27.0,12.0,4.0,8.0,3.0,2.0,13.0,11.0,7.0
166,EXTENDICARE HAMILTON,90 Chedmac Drive,"Hamilton, L9C7S6",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare (Canada) Inc.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Hamilton, L9C7S6,160,42.0,20.0,8.0,20.0,7.0,2.0,10.0,4.0,4.0,9.0,6.0,1.0
167,EXTENDICARE KAPUSKASING,45 Ontario Street P.O. Box 460,"Kapuskasing, P5N2Y5",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Kapuskasing, P5N2Y5,61,29.0,21.0,13.0,9.0,8.0,6.0,11.0,7.0,7.0,1.0,1.0,1.0
168,EXTENDICARE KAWARTHA LAKES,125 Colborne Street East,"Lindsay, K0L2V0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Lindsay, K0L2V0,64,15.0,10.0,4.0,3.0,1.0,,6.0,5.0,3.0,1.0,1.0,
169,EXTENDICARE KINGSTON,309 Queen Mary Road,"Kingston, K7M6P4",South East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Kingston, K7M6P4,150,28.0,15.0,4.0,7.0,2.0,1.0,12.0,7.0,2.0,4.0,2.0,
170,EXTENDICARE KIRKLAND LAKE,155 Government Road East,"Kirkland Lake, P2N3P4",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,100,22.0,16.0,5.0,5.0,3.0,1.0,8.0,5.0,2.0,3.0,3.0,
171,EXTENDICARE LAKEFIELD,19 Fraser Street,"Lakefield, K0L2H0",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Lakefield, K0L2H0,100,19.0,13.0,4.0,6.0,5.0,2.0,5.0,2.0,1.0,5.0,2.0,
172,EXTENDICARE LAURIER MANOR,1715 Montreal Road,"Gloucester, K1J6N4",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Gloucester, K1J6N4,242,85.0,52.0,15.0,41.0,24.0,6.0,34.0,20.0,8.0,5.0,5.0,
173,EXTENDICARE LONDON,860 Waterloo Street,"London, N6A3W6",South West,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,London, N6A3W6,170,61.0,25.0,12.0,29.0,10.0,3.0,24.0,11.0,7.0,3.0,1.0,1.0
174,EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,650 Northern Avenue,"Sault Ste. Marie, P6B4J3",North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 256 beds,No,Yes,Yes,Yes,,Sault Ste. Marie, P6B4J3,256,46.0,39.0,24.0,16.0,14.0,10.0,16.0,12.0,7.0,17.0,15.0,7.0
175,EXTENDICARE MEDEX,1865 Baseline Road,"Ottawa, K2C3K6",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 193 beds,No,Yes,No,Yes,,Ottawa, K2C3K6,193,64.0,38.0,20.0,24.0,14.0,8.0,28.0,19.0,9.0,6.0,4.0,2.0
176,EXTENDICARE MISSISSAUGA,855 John Watt Boulevard,"Mississauga, L5W1G2",Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Mississauga, L5W1G2,140,22.0,12.0,6.0,10.0,5.0,3.0,8.0,4.0,3.0,3.0,1.0,
177,EXTENDICARE NEW ORCHARD LODGE,99 New Orchard Avenue,"Ottawa, K2B5E6",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 111 beds,No,Yes,No,Yes,,Ottawa, K2B5E6,111,30.0,18.0,6.0,12.0,9.0,3.0,14.0,6.0,3.0,,,
178,EXTENDICARE OSHAWA,82 Park Road North,"Oshawa, L1J4L1",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 175 beds,Yes,Yes,Yes,Yes,,Oshawa, L1J4L1,175,41.0,28.0,8.0,13.0,9.0,4.0,18.0,11.0,3.0,5.0,2.0,
179,EXTENDICARE PETERBOROUGH,80 Alexander Avenue,"Peterborough, K9J6B4",Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 174 beds,Yes,Yes,Yes,Yes,,Peterborough, K9J6B4,174,31.0,20.0,11.0,13.0,7.0,4.0,10.0,7.0,5.0,3.0,2.0,1.0
180,EXTENDICARE PORT HOPE,360 Croft Street,"Port Hope, L1A4K8",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Port Hope, L1A4K8,128,29.0,21.0,5.0,12.0,5.0,2.0,9.0,8.0,3.0,5.0,4.0,
181,EXTENDICARE PORT STANLEY,4551 East Road,"Port Stanley, N5L1J6",South West,Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Port Stanley, N5L1J6,60,31.0,18.0,8.0,7.0,2.0,,12.0,6.0,4.0,8.0,7.0,4.0
182,EXTENDICARE ROUGE VALLEY,551 Conlins Road,"Toronto, M1B5S1",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Toronto, M1B5S1,192,35.0,23.0,11.0,14.0,9.0,3.0,9.0,6.0,4.0,7.0,5.0,2.0
183,EXTENDICARE SCARBOROUGH,3830 Lawrence Avenue East,"Scarborough, M1G1R6",Central East,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 154 beds,Yes,Yes,Yes,Yes,,Scarborough, M1G1R6,154,31.0,15.0,6.0,15.0,6.0,3.0,8.0,2.0,1.0,5.0,4.0,1.0
184,EXTENDICARE SOUTHWOOD LAKES,1255 North Talbot Road,"Windsor, N9G3A4",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Windsor, N9G3A4,150,100.0,30.0,14.0,71.0,19.0,9.0,19.0,5.0,4.0,3.0,2.0,1.0
185,EXTENDICARE ST. CATHARINES,283 Pelham Road,"St. Catharines, L2S1X7",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 153 beds,No,Yes,Yes,Yes,,St. Catharines, L2S1X7,153,27.0,16.0,9.0,11.0,5.0,5.0,9.0,4.0,3.0,7.0,6.0,2.0
186,EXTENDICARE STARWOOD,114 Starwood Road,"Nepean, K2G3N5",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Nepean, K2G3N5,192,54.0,26.0,14.0,25.0,12.0,6.0,21.0,10.0,7.0,5.0,1.0,1.0
187,EXTENDICARE TECUMSEH,2475 St. Alphonse Street,"Tecumseh, N8N2X2",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Tecumseh, N8N2X2,128,68.0,29.0,16.0,45.0,13.0,6.0,17.0,12.0,9.0,3.0,2.0,2.0
189,EXTENDICARE TIMMINS,62 St-Jean Avenue,"Timmins, P4R0A6",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Timmins, P4R0A6,121,39.0,25.0,9.0,14.0,8.0,3.0,13.0,7.0,4.0,11.0,9.0,1.0
190,EXTENDICARE TRI-TOWN,143 Bruce Street P.O. Box 999,"Haileybury, P0J1K0",North East,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,60,17.0,12.0,5.0,7.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0
191,EXTENDICARE VAN DAELE,39 Van Daele Street,"Sault Ste Marie, P6B4V3",North East,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Sault Ste Marie, P6B4V3,100,22.0,12.0,9.0,6.0,4.0,4.0,6.0,3.0,3.0,4.0,2.0,1.0
192,EXTENDICARE WEST END VILLA,2179 Elmira Drive,"Ottawa, K2C3S1",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Ottawa, K2C3S1,242,104.0,57.0,20.0,56.0,32.0,10.0,41.0,21.0,9.0,5.0,1.0,1.0
193,EXTENDICARE YORK,333 York Street,"Sudbury, P3E5J3",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 288 beds,Yes,Yes,Yes,Yes,,Sudbury, P3E5J3,288,63.0,34.0,14.0,24.0,11.0,5.0,23.0,12.0,6.0,16.0,10.0,2.0
194,F. J. DAVEY HOME,733 Third Line East,"Sault Ste Marie, P6A7C1",North East,F. J. Davey Home,,Non-Profit,Home with approximately 374 beds,No,Yes,Yes,Yes,,Sault Ste Marie, P6A7C1,374,65.0,25.0,10.0,28.0,8.0,4.0,15.0,9.0,4.0,22.0,6.0,2.0
195,FAIRFIELD PARK,1934 Dufferin Avenue,"Wallaceburg, N8A4M2",Erie St. Clair,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 99 beds,No,Yes,No,No,,Wallaceburg, N8A4M2,99,32.0,16.0,11.0,12.0,5.0,4.0,13.0,7.0,6.0,1.0,,
196,FAIRHAVEN,881 Dutton Road,"Peterborough, K9H7S4",Central East,City And County Of Peterborough,,Municipal,Home with approximately 256 beds,Yes,Yes,Yes,Yes,,Peterborough, K9H7S4,256,36.0,24.0,12.0,13.0,9.0,5.0,15.0,9.0,7.0,7.0,5.0,2.0
197,FAIRMOUNT HOME FOR THE AGED,2069 Battersea Road R. R. #1,"Glenburnie, K0H1S0",South East,The Corporation Of The County Of Frontenac,,Municipal,Home with approximately 128 beds,No,Yes,No,Yes,,Glenburnie, K0H1S0,128,34.0,22.0,10.0,12.0,8.0,4.0,16.0,10.0,5.0,1.0,,
198,FAIRVERN NURSING HOME,14 Mill Street,"Huntsville, P1H2A4",North Simcoe Muskoka,Huntsville District Nursing Home Inc.,,Non-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,,Huntsville, P1H2A4,76,21.0,11.0,6.0,4.0,2.0,2.0,7.0,4.0,4.0,4.0,,
199,FAIRVIEW LODGE,632 Dundas Street West P.O. Box 300,"Whitby, L1N5S3",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 198 beds,No,Yes,Yes,Yes,,Whitby, L1N5S3,198,46.0,27.0,11.0,18.0,11.0,7.0,19.0,8.0,3.0,2.0,2.0,
200,FAIRVIEW MANOR,75 Spring Street,"Almonte, K0A1A0",Champlain,Almonte General Hospital,,Non-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Almonte, K0A1A0,112,29.0,19.0,11.0,7.0,5.0,5.0,11.0,9.0,4.0,4.0,,
201,FAIRVIEW MENNONITE HOME,515 Langs Drive,"Cambridge, N3H5E4",Waterloo Wellington,Fairview Mennonite Homes,,Non-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Cambridge, N3H5E4,84,18.0,13.0,6.0,6.0,5.0,2.0,3.0,2.0,2.0,6.0,6.0,3.0
202,FAIRVIEW NURSING HOME,14 Cross Street,"Toronto, M6J1S8",Toronto Central,Fairview Nursing Home Limited,Specialty Care Inc.,For-Profit,Home with approximately 108 beds,No,Yes,Yes,Yes,,Toronto, M6J1S8,108,33.0,9.0,6.0,12.0,2.0,2.0,11.0,3.0,3.0,8.0,1.0,1.0
203,FAITH MANOR NURSING HOME,7900 Mclaughlin Road South,"Brampton, L6Y5A7",Central West,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6Y5A7,120,39.0,18.0,6.0,15.0,4.0,2.0,11.0,4.0,2.0,12.0,8.0,3.0
204,FENELON COURT,44 Wychwood Crescent,"Fenelon Falls, K0M1N0",Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 67 beds,No,Yes,Yes,Yes,,Fenelon Falls, K0M1N0,67,18.0,11.0,4.0,6.0,3.0,1.0,7.0,4.0,2.0,,,
205,FIDDICK'S NURSING HOME,437 First Avenue P.O. Box 340,"Petrolia, N0N1R0",Erie St. Clair,Fiddick's Nursing Home Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Petrolia, N0N1R0,92,37.0,23.0,12.0,16.0,10.0,3.0,12.0,7.0,5.0,3.0,3.0,2.0
206,FIELDSTONE COMMONS CARE COMMUNITY,1000 Ellesmere Road,"Scarborough, M1P5G2",Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 224 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P5G2,224,43.0,19.0,6.0,17.0,7.0,3.0,18.0,8.0,2.0,8.0,5.0,2.0
207,FINLANDIA HOIVAKOTI NURSING HOME LIMITED,233 Fourth Avenue,"Sudbury, P3B4C3",North East,Finlandia Nursing Home Limited,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Sudbury, P3B4C3,112,42.0,18.0,7.0,16.0,4.0,2.0,14.0,8.0,3.0,7.0,5.0,1.0
208,FOREST HEIGHTS,60 Westheights Drive,"Kitchener, N2N2A8",Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Home with approximately 240 beds,Yes,Yes,Yes,Yes,,Kitchener, N2N2A8,240,102.0,40.0,13.0,45.0,12.0,5.0,41.0,17.0,4.0,11.0,6.0,3.0
209,FOREST HILL,6501 Campeau Drive,"Kanata, K2K3E9",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kanata, K2K3E9,160,42.0,23.0,9.0,17.0,10.0,5.0,16.0,6.0,3.0,3.0,2.0,
210,FOSTERBROOKE,330 King Street West,"Newcastle, L1B1G9",Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,,Newcastle, L1B1G9,88,23.0,13.0,2.0,9.0,4.0,,5.0,3.0,1.0,3.0,1.0,
211,FOUNTAIN VIEW CARE COMMUNITY,1800 O'Connor Drive,"East York, M4A1W7",Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,,East York, M4A1W7,158,43.0,16.0,11.0,21.0,4.0,3.0,14.0,8.0,6.0,7.0,4.0,3.0
212,FOX RIDGE CARE COMMUNITY,389 West Street,"Brantford, N3R3V9",Hamilton Niagara Haldimand Brant (Hnhb),2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 122 beds,No,Yes,Yes,Yes,,Brantford, N3R3V9,122,64.0,21.0,8.0,24.0,7.0,2.0,23.0,7.0,4.0,20.0,10.0,6.0
213,FOYER DES PIONNIERS,67 15th Street P.O. Box 1538,"Hearst, P0L1N0",North East,Foyer Hearst - Mattice - Soins De Sante,,Non-Profit,Home with approximately 67 beds,Yes,Yes,Yes,No,,Hearst, P0L1N0,67,19.0,14.0,8.0,1.0,,,8.0,6.0,6.0,3.0,3.0,1.0
214,FOYER RICHELIEU WELLAND,655 Tanguay Avenue,"Welland, L3B6A1",Hamilton Niagara Haldimand Brant (Hnhb),Foyer Richelieu Welland,,Non-Profit,Home with approximately 63 beds,No,Yes,Yes,No,,Welland, L3B6A1,63,43.0,21.0,8.0,28.0,8.0,5.0,3.0,3.0,3.0,8.0,6.0,
215,FOYER ST-VIATEUR NURSING HOME,1003 Limoges Road South,"Limoges, K0A2M0",Champlain,Genesis Gardens Inc.,,For-Profit,Home with approximately 57 beds,No,Yes,Yes,Yes,,Limoges, K0A2M0,57,66.0,30.0,10.0,24.0,4.0,,13.0,8.0,6.0,23.0,14.0,2.0
216,FRANKLIN GARDENS LONG TERM CARE HOME,24 Franklin Road,"Leamington, N8H4B7",Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Leamington, N8H4B7,120,56.0,24.0,9.0,20.0,8.0,2.0,28.0,10.0,5.0,4.0,3.0,2.0
217,FRIENDLY MANOR NURSING HOME,"9756 County Road, #2 P.O. Box 305","Deseronto, K0K1X0",South East,Manorcare Partners Ii,Eldercare Management & Consulting Corp.,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Deseronto, K0K1X0,60,30.0,21.0,5.0,7.0,7.0,2.0,14.0,7.0,2.0,3.0,3.0,
218,FROST MANOR,225 Mary Street West,"Lindsay, K9V5K3",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 62 beds,No,Yes,Yes,Yes,,Lindsay, K9V5K3,62,22.0,15.0,4.0,4.0,3.0,,10.0,6.0,3.0,3.0,1.0,
219,FUDGER HOUSE,439 Sherbourne Street,"Toronto, M4X1K6",Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 250 beds,Yes,Yes,Yes,Yes,,Toronto, M4X1K6,250,22.0,13.0,7.0,10.0,3.0,2.0,6.0,4.0,4.0,2.0,2.0,2.0
220,GARDEN CITY MANOR,168 Scott Street,"St. Catharines, L2N1H2",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 200 beds,No,Yes,Yes,Yes,,St. Catharines, L2N1H2,200,58.0,24.0,12.0,28.0,8.0,3.0,16.0,9.0,6.0,11.0,5.0,2.0
221,GARDEN COURT NURSING HOME,1 Sand Beach Road,"Etobicoke, M8V2W2",Toronto Central,Shaparrall Limited,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,No,,Etobicoke, M8V2W2,45,13.0,8.0,4.0,2.0,,,3.0,3.0,1.0,4.0,2.0,2.0
222,GARDEN TERRACE,100 Aird Place,"Kanata, K2L4H8",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,Kanata, K2L4H8,160,56.0,43.0,22.0,21.0,13.0,9.0,25.0,21.0,11.0,5.0,5.0,1.0
223,GARDENVIEW LONG TERM CARE HOME,72 Town Centre Drive,"Townsend, N0A1S0",Hamilton Niagara Haldimand Brant (Hnhb),Parkview Meadows Christian Retirement Village,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Townsend, N0A1S0,64,18.0,14.0,2.0,8.0,6.0,2.0,1.0,,,5.0,5.0,
224,GARRY J. ARMSTRONG HOME,200 Island Lodge Road,"Ottawa, K1N5M2",Champlain,City Of Ottawa,,Municipal,Home with approximately 180 beds,No,Yes,Yes,Yes,,Ottawa, K1N5M2,180,70.0,53.0,22.0,30.0,25.0,12.0,24.0,18.0,5.0,14.0,9.0,3.0
225,GATEWAY HAVEN LONG TERM CARE HOME,671 Frank Street P.O. Box 10,"Wiarton, N0H2T0",South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 100 beds,No,Yes,Yes,No,,Wiarton, N0H2T0,100,19.0,10.0,5.0,5.0,2.0,1.0,7.0,2.0,2.0,6.0,5.0,3.0
227,GEORGIAN HEIGHTS,1115-10th Street East,"Owen Sound, N4K6B1",South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 40 beds,No,Yes,Yes,Yes,,Owen Sound, N4K6B1,40,20.0,9.0,4.0,3.0,,,5.0,2.0,2.0,13.0,8.0,3.0
228,GEORGIAN MANOR HOME FOR THE AGED,101 Thompsons Road,"Penetanguishene, L9M0V3",North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 143 beds,Yes,Yes,Yes,Yes,,Penetanguishene, L9M0V3,143,22.0,16.0,6.0,7.0,6.0,1.0,7.0,3.0,3.0,2.0,2.0,
229,GERALDTON DISTRICT HOSPITAL,500 Hogarth Avenue West,"Geraldton, P0T1M0",North West,Geraldton District Hospital,,Non-Profit,Home with approximately 19 beds,No,Yes,Yes,Yes,,Geraldton, P0T1M0,19,13.0,9.0,2.0,1.0,1.0,,4.0,3.0,1.0,5.0,3.0,
230,GILMORE LODGE,50 Gilmore Road,"Fort Erie, L2A2M1",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 80 beds,No,Yes,Yes,Yes,,Fort Erie, L2A2M1,80,17.0,9.0,3.0,6.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,
231,GLEBE CENTRE,950 Bank Street,"Ottawa, K1S5G6",Champlain,The Glebe Centre Incorporated,,Non-Profit,Home with approximately 254 beds,No,Yes,Yes,Yes,,Ottawa, K1S5G6,254,44.0,29.0,20.0,20.0,12.0,11.0,16.0,10.0,6.0,5.0,5.0,4.0
232,GLEN HILL MARNWOOD,26 Elgin Street,"Bowmanville, L1C3C8",Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Bowmanville, L1C3C8,60,24.0,12.0,5.0,7.0,1.0,,9.0,7.0,5.0,4.0,1.0,
233,GLEN HILL STRATHAVEN,264 King Street East,"Bowmanville, L1C1P9",Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 199 beds,Yes,Yes,No,Yes,,Bowmanville, L1C1P9,199,57.0,28.0,11.0,16.0,7.0,3.0,14.0,11.0,5.0,23.0,9.0,3.0
234,GLEN-STOR-DUN LODGE,1900 Montreal Road,"Cornwall, K6H7L1",Champlain,The Corporation Of The City Of Cornwall,,Municipal,Home with approximately 132 beds,Yes,Yes,Yes,Yes,,Cornwall, K6H7L1,132,42.0,27.0,14.0,19.0,8.0,5.0,13.0,10.0,6.0,10.0,10.0,6.0
235,GOLDEN DAWN NURSING HOME,80 Main Street P. O. Box 129,"Lion's Head, N0H1W0",South West,Golden Dawn Senior Citizen Home,,Non-Profit,Home with approximately 45 beds,No,Yes,Yes,No,,Lion's Head, N0H1W0,45,17.0,10.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,9.0,7.0,4.0
236,GOLDEN MANOR,481 Melrose Boulevard,"Timmins, P4N5H3",North East,Corporation Of The City Of Timmins,,Municipal,Home with approximately 177 beds,Yes,Yes,Yes,Yes,,Timmins, P4N5H3,177,21.0,13.0,5.0,7.0,4.0,2.0,8.0,4.0,3.0,6.0,4.0,
237,GOLDEN PLOUGH LODGE,983 Burnham Street,"Cobourg, K9A5J6",Central East,The Corporation Of The County Of Northumberland,,Municipal,Home with approximately 151 beds,No,Yes,Yes,Yes,,Cobourg, K9A5J6,151,62.0,30.0,5.0,16.0,8.0,1.0,26.0,9.0,4.0,11.0,7.0,1.0
238,GOLDEN YEARS NURSING HOME,704 Eagle Street North P.O. Box 3277,"Cambridge, N3H4T3",Waterloo Wellington,Golden Years Nursing Homes (Cambridge) Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,No,,Cambridge, N3H4T3,90,56.0,26.0,12.0,23.0,10.0,4.0,11.0,6.0,4.0,13.0,8.0,4.0
239,GOOD SAMARITAN NURSING HOME,481 Victoria Street East,"Alliston, L9R1J8",Central,Clurelea Ltd.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Alliston, L9R1J8,64,14.0,8.0,4.0,3.0,,,4.0,3.0,2.0,1.0,1.0,1.0
240,GRACE MANOR,45 Kingknoll Drive,"Brampton, L6Y5P2",Central West,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P2,120,35.0,18.0,11.0,18.0,8.0,6.0,10.0,4.0,4.0,9.0,6.0,2.0
241,GRACE VILLA NURSING HOME,45 Lockton Crescent,"Hamilton, L8V4V5",Hamilton Niagara Haldimand Brant (Hnhb),Grace Villa Limited,Apans Health Services,For-Profit,Home with approximately 184 beds,No,Yes,No,Yes,,Hamilton, L8V4V5,184,81.0,26.0,12.0,37.0,10.0,5.0,13.0,6.0,5.0,31.0,13.0,4.0
244,GRANDVIEW LODGE / DUNNVILLE,657 Lock Street West,"Dunnville, N1A1V9",Hamilton Niagara Haldimand Brant (Hnhb),The Corporation Of Haldimand County,,Municipal,Home with approximately 128 beds,No,Yes,Yes,Yes,,Dunnville, N1A1V9,128,37.0,17.0,7.0,16.0,8.0,4.0,12.0,4.0,1.0,9.0,5.0,
245,GRANITE RIDGE CARE COMMUNITY,5501 Abbott Street East,"Stittsville, K2S2C5",Champlain,Specialty Care Ottawa Inc.,,For-Profit,Home with approximately 224 beds,No,Yes,Yes,Yes,,Stittsville, K2S2C5,224,34.0,22.0,10.0,14.0,8.0,5.0,16.0,11.0,5.0,1.0,,
247,GREENWOOD COURT,90 Greenwood Drive,"Stratford, N5A7W5",South West,Tri-county Mennonite Homes,,Non-Profit,Home with approximately 45 beds,No,Yes,No,No,,Stratford, N5A7W5,45,20.0,12.0,3.0,5.0,4.0,,3.0,3.0,2.0,4.0,1.0,
248,GREY GABLES HOME FOR THE AGED,206 Toronto Street South,"Markdale, N0C1H0",South West,Corporation Of The County Of Grey,,Municipal,Home with approximately 66 beds,No,Yes,Yes,No,,Markdale, N0C1H0,66,40.0,19.0,8.0,10.0,6.0,2.0,20.0,5.0,1.0,8.0,6.0,4.0
249,GROVE PARK HOME FOR SENIOR CITIZENS,234 Cook Street,"Barrie, L4M4H5",North Simcoe Muskoka,Grove Park Home For Senior Citizens,,Non-Profit,Home with approximately 143 beds,No,Yes,No,Yes,,Barrie, L4M4H5,143,22.0,14.0,8.0,5.0,3.0,3.0,8.0,5.0,4.0,3.0,1.0,
250,GROVES PARK LODGE,470 Raglan Street North,"Renfrew, K7V1P5",Champlain,Gem Health Care Group Limited,,For-Profit,Home with approximately 90 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V1P5,90,19.0,14.0,8.0,4.0,3.0,2.0,10.0,7.0,5.0,3.0,3.0,2.0
