name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,CSDname,CSDuid,latitude,longitude
EXTENDICARE LAKEFIELD,19 Fraser Street,Central East,For-Profit,Yes,Yes,Yes,Yes,,Lakefield, K0L2H0,19.0,13.0,4.0,6.0,5.0,2.0,5.0,2.0,1.0,5.0,2.0,,extendicare lakefield,,0,,Inactive,100.0,Selwyn,3515015.0,44.42419477,-78.28153509999999
EXTENDICARE LAURIER MANOR,1715 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,,Gloucester, K1J6N4,85.0,52.0,15.0,41.0,24.0,6.0,34.0,20.0,8.0,5.0,5.0,,extendicare laurier manor,<5,25,<5,Active,242.0,Ottawa,3506008.0,45.44640676,-75.61084101
EXTENDICARE LONDON,860 Waterloo Street,South West,For-Profit,Yes,Yes,Yes,Yes,,London, N6A3W6,61.0,25.0,12.0,29.0,10.0,3.0,24.0,11.0,7.0,3.0,1.0,1.0,extendicare london,,,,,170.0,London,3539036.0,43.00042548,-81.24860602
EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,650 Northern Avenue,North East,For-Profit,No,Yes,Yes,Yes,,Sault Ste. Marie, P6B4J3,46.0,39.0,24.0,16.0,14.0,10.0,16.0,12.0,7.0,17.0,15.0,7.0,extendicare maple view of sault ste. marie,,0,,Inactive,256.0,Sault Ste. Marie,3557061.0,46.5350635,-84.30335325
EXTENDICARE MEDEX,1865 Baseline Road,Champlain,For-Profit,No,Yes,No,Yes,,Ottawa, K2C3K6,64.0,38.0,20.0,24.0,14.0,8.0,28.0,19.0,9.0,6.0,4.0,2.0,extendicare medex,,,,,193.0,Ottawa,3506008.0,45.35435184,-75.75821985
EXTENDICARE MISSISSAUGA,855 John Watt Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5W1G2,22.0,12.0,6.0,10.0,5.0,3.0,8.0,4.0,3.0,3.0,1.0,,extendicare mississauga,,,,,140.0,Mississauga,3521005.0,43.63238897,-79.72791359
EXTENDICARE NEW ORCHARD LODGE,99 New Orchard Avenue,Champlain,For-Profit,No,Yes,No,Yes,,Ottawa, K2B5E6,30.0,18.0,6.0,12.0,9.0,3.0,14.0,6.0,3.0,,,,extendicare new orchard lodge,,,,,111.0,Ottawa,3506008.0,45.37526254,-75.77907516
EXTENDICARE OSHAWA,82 Park Road North,Central East,For-Profit,Yes,Yes,Yes,Yes,,Oshawa, L1J4L1,41.0,28.0,8.0,13.0,9.0,4.0,18.0,11.0,3.0,5.0,2.0,,extendicare oshawa,,0,,Inactive,175.0,Oshawa,3518013.0,43.89733765,-78.87514724
EXTENDICARE PETERBOROUGH,80 Alexander Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,,Peterborough, K9J6B4,31.0,20.0,11.0,13.0,7.0,4.0,10.0,7.0,5.0,3.0,2.0,1.0,extendicare peterborough,,,,,174.0,Peterborough,3515014.0,44.29856245,-78.34564511
EXTENDICARE PORT HOPE,360 Croft Street,Central East,For-Profit,No,Yes,Yes,Yes,,Port Hope, L1A4K8,29.0,21.0,5.0,12.0,5.0,2.0,9.0,8.0,3.0,5.0,4.0,,extendicare port hope,,,,,128.0,Port Hope,3514020.0,43.96724219,-78.28414406
EXTENDICARE PORT STANLEY,4551 East Road,South West,For-Profit,Yes,Yes,Yes,Yes,,Port Stanley, N5L1J6,31.0,18.0,8.0,7.0,2.0,,12.0,6.0,4.0,8.0,7.0,4.0,extendicare port stanley,,,,,60.0,Central Elgin,3534020.0,42.67066023,-81.20881357
EXTENDICARE ROUGE VALLEY,551 Conlins Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M1B5S1,35.0,23.0,11.0,14.0,9.0,3.0,9.0,6.0,4.0,7.0,5.0,2.0,extendicare rouge valley,,0,,Inactive,192.0,Toronto,3520005.0,43.80332132,-79.18867764
EXTENDICARE SCARBOROUGH,3830 Lawrence Avenue East,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1G1R6,31.0,15.0,6.0,15.0,6.0,3.0,8.0,2.0,1.0,5.0,4.0,1.0,extendicare scarborough,40,14,22,Active,154.0,Toronto,3520005.0,43.76375641,-79.21012454
EXTENDICARE SOUTHWOOD LAKES,1255 North Talbot Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N9G3A4,100.0,30.0,14.0,71.0,19.0,9.0,19.0,5.0,4.0,3.0,2.0,1.0,extendicare southwood lakes,0,0,<5,Active,150.0,Windsor,3537039.0,42.24130106,-82.97743668
EXTENDICARE ST. CATHARINES,283 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,St. Catharines, L2S1X7,27.0,16.0,9.0,11.0,5.0,5.0,9.0,4.0,3.0,7.0,6.0,2.0,extendicare st. catharines,,,,,153.0,St. Catharines,3526053.0,43.1300249,-79.2583408
EXTENDICARE STARWOOD,114 Starwood Road,Champlain,For-Profit,No,Yes,Yes,Yes,,Nepean, K2G3N5,54.0,26.0,14.0,25.0,12.0,6.0,21.0,10.0,7.0,5.0,1.0,1.0,extendicare starwood,,0,,Inactive,192.0,Ottawa,3506008.0,45.35366004,-75.75058715
EXTENDICARE TECUMSEH,2475 St. Alphonse Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Tecumseh, N8N2X2,68.0,29.0,16.0,45.0,13.0,6.0,17.0,12.0,9.0,3.0,2.0,2.0,extendicare tecumseh,,0,,Inactive,128.0,Tecumseh,3537048.0,42.28214117,-82.88283156
EXTENDICARE TIMMINS,62 St-Jean Avenue,North East,For-Profit,No,Yes,Yes,Yes,,Timmins, P4R0A6,39.0,25.0,9.0,14.0,8.0,3.0,13.0,7.0,4.0,11.0,9.0,1.0,extendicare timmins,,0,,Inactive,180.0,Timmins,3556027.0,48.47746467,-81.37922804
EXTENDICARE TRI-TOWN,143 Bruce Street P.O. Box 999,North East,For-Profit,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,17.0,12.0,5.0,7.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,extendicare tri-town,,,,,60.0,Temiskaming Shores,3554020.0,47.4407208,-79.63014404
EXTENDICARE VAN DAELE,39 Van Daele Street,North East,For-Profit,Yes,Yes,Yes,Yes,,Sault Ste Marie, P6B4V3,22.0,12.0,9.0,6.0,4.0,4.0,6.0,3.0,3.0,4.0,2.0,1.0,extendicare van daele,,,,,100.0,Sault Ste. Marie,3557061.0,46.5295084,-84.32443156
EXTENDICARE WEST END VILLA,2179 Elmira Drive,Champlain,For-Profit,No,Yes,Yes,Yes,,Ottawa, K2C3S1,104.0,57.0,20.0,56.0,32.0,10.0,41.0,21.0,9.0,5.0,1.0,1.0,extendicare west end villa,,0,,Inactive,242.0,Ottawa,3506008.0,45.35438354,-75.77592346
EXTENDICARE YORK,333 York Street,North East,For-Profit,Yes,Yes,Yes,Yes,,Sudbury, P3E5J3,63.0,34.0,14.0,24.0,11.0,5.0,23.0,12.0,6.0,16.0,10.0,2.0,extendicare york,,0,,Inactive,288.0,Greater Sudbury / Grand Sudbury,3553005.0,46.47514368,-81.00771419
F. J. DAVEY HOME,733 Third Line East,North East,Non-Profit,No,Yes,Yes,Yes,,Sault Ste Marie, P6A7C1,65.0,25.0,10.0,28.0,8.0,4.0,15.0,9.0,4.0,22.0,6.0,2.0,f. j. davey home,,,,,374.0,Sault Ste. Marie,3557061.0,46.55212210000001,-84.3119845
FAIRFIELD PARK,1934 Dufferin Avenue,Erie St. Clair,For-Profit,No,Yes,No,No,,Wallaceburg, N8A4M2,32.0,16.0,11.0,12.0,5.0,4.0,13.0,7.0,6.0,1.0,,,fairfield park,,,,,99.0,Chatham-Kent,3536020.0,42.59425785,-82.41318124
FAIRHAVEN,881 Dutton Road,Central East,Municipal,Yes,Yes,Yes,Yes,,Peterborough, K9H7S4,36.0,24.0,12.0,13.0,9.0,5.0,15.0,9.0,7.0,7.0,5.0,2.0,fairhaven,,,,,256.0,Peterborough,3515014.0,44.32761635,-78.3181676
FAIRMOUNT HOME FOR THE AGED,2069 Battersea Road R. R. #1,South East,Municipal,No,Yes,No,Yes,,Glenburnie, K0H1S0,34.0,22.0,10.0,12.0,8.0,4.0,16.0,10.0,5.0,1.0,,,fairmount home for the aged,,,,,128.0,Kingston,3510010.0,44.31346333,-76.4650418
FAIRVERN NURSING HOME,14 Mill Street,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,Yes,,Huntsville, P1H2A4,21.0,11.0,6.0,4.0,2.0,2.0,7.0,4.0,4.0,4.0,,,fairvern nursing home,,,,,76.0,Huntsville,3544042.0,45.32656618,-79.21252868
FAIRVIEW LODGE,632 Dundas Street West P.O. Box 300,Central East,Municipal,No,Yes,Yes,Yes,,Whitby, L1N5S3,46.0,27.0,11.0,18.0,11.0,7.0,19.0,8.0,3.0,2.0,2.0,,fairview lodge,,0,,Inactive,198.0,Whitby,3518009.0,43.87912064,-78.95110927
FAIRVIEW MANOR,75 Spring Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Almonte, K0A1A0,29.0,19.0,11.0,7.0,5.0,5.0,11.0,9.0,4.0,4.0,,,fairview manor,,,,,112.0,Mississippi Mills,3509030.0,45.2287855,-76.18998128
FAIRVIEW MENNONITE HOME,515 Langs Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Cambridge, N3H5E4,18.0,13.0,6.0,6.0,5.0,2.0,3.0,2.0,2.0,6.0,6.0,3.0,fairview mennonite home,,,,,84.0,Cambridge,3530010.0,43.3985564,-80.34314607
FAIRVIEW NURSING HOME,14 Cross Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M6J1S8,33.0,9.0,6.0,12.0,2.0,2.0,11.0,3.0,3.0,8.0,1.0,1.0,fairview nursing home,,,,,108.0,Toronto,3520005.0,43.64812078,-79.4285026
FAITH MANOR NURSING HOME,7900 Mclaughlin Road South,Central West,Non-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5A7,39.0,18.0,6.0,15.0,4.0,2.0,11.0,4.0,2.0,12.0,8.0,3.0,faith manor nursing home,<5,<5,<5,Active,120.0,Brampton,3521010.0,43.65401717,-79.74139890000002
FENELON COURT,44 Wychwood Crescent,Central East,For-Profit,No,Yes,Yes,Yes,,Fenelon Falls, K0M1N0,18.0,11.0,4.0,6.0,3.0,1.0,7.0,4.0,2.0,,,,fenelon court,0,0,<5,Active,67.0,Kawartha Lakes,3516010.0,44.52846487,-78.73121905
FIDDICK'S NURSING HOME,437 First Avenue P.O. Box 340,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Petrolia, N0N1R0,37.0,23.0,12.0,16.0,10.0,3.0,12.0,7.0,5.0,3.0,3.0,2.0,fiddick's nursing home,,,,,92.0,Petrolia,3538019.0,42.877897,-82.135951
FIELDSTONE COMMONS CARE COMMUNITY,1000 Ellesmere Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1P5G2,43.0,19.0,6.0,17.0,7.0,3.0,18.0,8.0,2.0,8.0,5.0,2.0,fieldstone commons care community,,,,,224.0,Toronto,3520005.0,43.76728591,-79.27793126
FINLANDIA HOIVAKOTI NURSING HOME LIMITED,233 Fourth Avenue,North East,For-Profit,Yes,Yes,Yes,Yes,,Sudbury, P3B4C3,42.0,18.0,7.0,16.0,4.0,2.0,14.0,8.0,3.0,7.0,5.0,1.0,finlandia hoivakoti nursing home,,0,,Inactive,112.0,Greater Sudbury / Grand Sudbury,3553005.0,46.48424888,-80.92711026
FOREST HEIGHTS,60 Westheights Drive,Waterloo Wellington,For-Profit,Yes,Yes,Yes,Yes,,Kitchener, N2N2A8,102.0,40.0,13.0,45.0,12.0,5.0,41.0,17.0,4.0,11.0,6.0,3.0,forest heights,171,50,68,Active,240.0,Kitchener,3530013.0,43.42864339,-80.52997973
FOREST HILL,6501 Campeau Drive,Champlain,For-Profit,No,Yes,Yes,Yes,,Kanata, K2K3E9,42.0,23.0,9.0,17.0,10.0,5.0,16.0,6.0,3.0,3.0,2.0,,forest hill,,,,,160.0,Ottawa,3506008.0,45.31439133,-75.9096673
FOSTERBROOKE,330 King Street West,Central East,For-Profit,Yes,Yes,Yes,Yes,,Newcastle, L1B1G9,23.0,13.0,2.0,9.0,4.0,,5.0,3.0,1.0,3.0,1.0,,fosterbrooke,,,,,88.0,Toronto,3520005.0,43.64665448,-79.39003029
FOUNTAIN VIEW CARE COMMUNITY,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,,East York, M4A1W7,43.0,16.0,11.0,21.0,4.0,3.0,14.0,8.0,6.0,7.0,4.0,3.0,fountain view care community,,0,,Inactive,158.0,Toronto,3520005.0,43.7205599,-79.30496586
FOX RIDGE CARE COMMUNITY,389 West Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Brantford, N3R3V9,64.0,21.0,8.0,24.0,7.0,2.0,23.0,7.0,4.0,20.0,10.0,6.0,fox ridge care community,,,,,122.0,Brantford,3529006.0,43.15692506,-80.25558282
FOYER DES PIONNIERS,67 15th Street P.O. Box 1538,North East,Non-Profit,Yes,Yes,Yes,No,,Hearst, P0L1N0,19.0,14.0,8.0,1.0,,,8.0,6.0,6.0,3.0,3.0,1.0,foyer des pionniers,,,,,67.0,Hearst,3556076.0,49.684844700000006,-83.67961927
FOYER RICHELIEU WELLAND,655 Tanguay Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Welland, L3B6A1,43.0,21.0,8.0,28.0,8.0,5.0,3.0,3.0,3.0,8.0,6.0,,foyer richelieu welland,,,,,63.0,Welland,3526032.0,42.99062027,-79.22461408
FOYER ST-VIATEUR NURSING HOME,1003 Limoges Road South,Champlain,For-Profit,No,Yes,Yes,Yes,,Limoges, K0A2M0,66.0,30.0,10.0,24.0,4.0,,13.0,8.0,6.0,23.0,14.0,2.0,foyer st-viateur nursing home,,,,,57.0,The Nation / La Nation,3502025.0,45.29369315,-75.22846107
FRANKLIN GARDENS LONG TERM CARE HOME,24 Franklin Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Leamington, N8H4B7,56.0,24.0,9.0,20.0,8.0,2.0,28.0,10.0,5.0,4.0,3.0,2.0,franklin gardens long term care home,,0,,Inactive,120.0,Leamington,3537003.0,42.03083044,-82.59816325
FRIENDLY MANOR NURSING HOME,"9756 County Road, #2 P.O. Box 305",South East,For-Profit,No,Yes,No,Yes,,Deseronto, K0K1X0,30.0,21.0,5.0,7.0,7.0,2.0,14.0,7.0,2.0,3.0,3.0,,friendly manor nursing home,,,,,60.0,Greater Napanee,3511015.0,44.2012069,-77.0375329
FROST MANOR,225 Mary Street West,Central East,For-Profit,No,Yes,Yes,Yes,,Lindsay, K9V5K3,22.0,15.0,4.0,4.0,3.0,,10.0,6.0,3.0,3.0,1.0,,frost manor,,,,,62.0,Kawartha Lakes,3516010.0,44.342364,-78.747889
FUDGER HOUSE,439 Sherbourne Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,,Toronto, M4X1K6,22.0,13.0,7.0,10.0,3.0,2.0,6.0,4.0,4.0,2.0,2.0,2.0,fudger house,<5,0,0,Active,250.0,Toronto,3520005.0,43.66633069,-79.37402148
GARDEN CITY MANOR,168 Scott Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,St. Catharines, L2N1H2,58.0,24.0,12.0,28.0,8.0,3.0,16.0,9.0,6.0,11.0,5.0,2.0,garden city manor,,0,,Inactive,200.0,St. Catharines,3526053.0,43.18091791,-79.2490312
GARDEN COURT NURSING HOME,1 Sand Beach Road,Toronto Central,For-Profit,No,Yes,Yes,No,,Etobicoke, M8V2W2,13.0,8.0,4.0,2.0,,,3.0,3.0,1.0,4.0,2.0,2.0,garden court nursing home,,,,,45.0,Toronto,3520005.0,43.60195707,-79.49680752
GARDEN TERRACE,100 Aird Place,Champlain,For-Profit,Yes,Yes,Yes,Yes,,Kanata, K2L4H8,56.0,43.0,22.0,21.0,13.0,9.0,25.0,21.0,11.0,5.0,5.0,1.0,garden terrace,0,0,<5,Active,160.0,Ottawa,3506008.0,45.30976033,-75.90097929999997
GARDENVIEW LONG TERM CARE HOME,72 Town Centre Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Townsend, N0A1S0,18.0,14.0,2.0,8.0,6.0,2.0,1.0,,,5.0,5.0,,gardenview long term care home,,0,,Inactive,64.0,Haldimand County,3528018.0,42.88836551,-80.14081206
GARRY J. ARMSTRONG HOME,200 Island Lodge Road,Champlain,Municipal,No,Yes,Yes,Yes,,Ottawa, K1N5M2,70.0,53.0,22.0,30.0,25.0,12.0,24.0,18.0,5.0,14.0,9.0,3.0,garry j. armstrong home,,0,,Inactive,180.0,Ottawa,3506008.0,45.43785466,-75.68321333
GATEWAY HAVEN LONG TERM CARE HOME,671 Frank Street P.O. Box 10,South West,Municipal,No,Yes,Yes,No,,Wiarton, N0H2T0,19.0,10.0,5.0,5.0,2.0,1.0,7.0,2.0,2.0,6.0,5.0,3.0,gateway haven long term care home,,,,,100.0,South Bruce Peninsula,3541055.0,44.74034089,-81.12803284
GEORGIAN HEIGHTS,1115-10th Street East,South West,For-Profit,No,Yes,Yes,Yes,,Owen Sound, N4K6B1,20.0,9.0,4.0,3.0,,,5.0,2.0,2.0,13.0,8.0,3.0,georgian heights,,,,,40.0,Owen Sound,3542059.0,44.56929937,-80.92272196
GEORGIAN MANOR HOME FOR THE AGED,101 Thompsons Road,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,,Penetanguishene, L9M0V3,22.0,16.0,6.0,7.0,6.0,1.0,7.0,3.0,3.0,2.0,2.0,,georgian manor home for the aged,,,,,143.0,Penetanguishene,3543072.0,44.76796585,-79.91976266
GERALDTON DISTRICT HOSPITAL,500 Hogarth Avenue West,North West,Non-Profit,No,Yes,Yes,Yes,,Geraldton, P0T1M0,13.0,9.0,2.0,1.0,1.0,,4.0,3.0,1.0,5.0,3.0,,geraldton district hospital,,,,,19.0,Greenstone,3558075.0,49.7226939,-86.9547123
GILMORE LODGE,50 Gilmore Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Fort Erie, L2A2M1,17.0,9.0,3.0,6.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,,gilmore lodge,,,,,80.0,Fort Erie,3526003.0,42.92080238,-78.91490397
GLEBE CENTRE,950 Bank Street,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K1S5G6,44.0,29.0,20.0,20.0,12.0,11.0,16.0,10.0,6.0,5.0,5.0,4.0,glebe centre,,,,,254.0,Ottawa,3506008.0,45.39876525,-75.68635693
GLEN HILL MARNWOOD,26 Elgin Street,Central East,Non-Profit,No,Yes,No,Yes,,Bowmanville, L1C3C8,24.0,12.0,5.0,7.0,1.0,,9.0,7.0,5.0,4.0,1.0,,glen hill marnwood,,,,,60.0,Clarington,3518017.0,43.91589256,-78.68988509
GLEN HILL STRATHAVEN,264 King Street East,Central East,Non-Profit,Yes,Yes,No,Yes,,Bowmanville, L1C1P9,57.0,28.0,11.0,16.0,7.0,3.0,14.0,11.0,5.0,23.0,9.0,3.0,glen hill strathaven,,0,,Inactive,210.0,Clarington,3518017.0,43.91212066,-78.67361278
GLEN-STOR-DUN LODGE,1900 Montreal Road,Champlain,Municipal,Yes,Yes,Yes,Yes,,Cornwall, K6H7L1,42.0,27.0,14.0,19.0,8.0,5.0,13.0,10.0,6.0,10.0,10.0,6.0,glen-stor-dun lodge,,,,,132.0,Cornwall,3501012.0,45.02603103,-74.68347497
GOLDEN DAWN NURSING HOME,80 Main Street P. O. Box 129,South West,Non-Profit,No,Yes,Yes,No,,Lion's Head, N0H1W0,17.0,10.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,9.0,7.0,4.0,golden dawn nursing home,,0,,Inactive,45.0,Northern Bruce Peninsula,3541069.0,44.98706902,-81.25537981
GOLDEN MANOR,481 Melrose Boulevard,North East,Municipal,Yes,Yes,Yes,Yes,,Timmins, P4N5H3,21.0,13.0,5.0,7.0,4.0,2.0,8.0,4.0,3.0,6.0,4.0,,golden manor,,0,,Inactive,177.0,Timmins,3556027.0,48.48606627,-81.34352493
GOLDEN PLOUGH LODGE,983 Burnham Street,Central East,Municipal,No,Yes,Yes,Yes,,Cobourg, K9A5J6,62.0,30.0,5.0,16.0,8.0,1.0,26.0,9.0,4.0,11.0,7.0,1.0,golden plough lodge,,,,,151.0,Cobourg,3514021.0,43.9744937,-78.19501703
GOLDEN YEARS NURSING HOME,704 Eagle Street North P.O. Box 3277,Waterloo Wellington,For-Profit,No,Yes,Yes,No,,Cambridge, N3H4T3,56.0,26.0,12.0,23.0,10.0,4.0,11.0,6.0,4.0,13.0,8.0,4.0,golden years nursing home,,0,,Inactive,88.0,Cambridge,3530010.0,43.4042795,-80.35454667
GOOD SAMARITAN NURSING HOME,481 Victoria Street East,Central,For-Profit,No,Yes,No,Yes,,Alliston, L9R1J8,14.0,8.0,4.0,3.0,,,4.0,3.0,2.0,1.0,1.0,1.0,good samaritan nursing home,,,,,64.0,New Tecumseth,3543007.0,44.15888285,-79.84546178
GRACE MANOR,45 Kingknoll Drive,Central West,Non-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5P2,35.0,18.0,11.0,18.0,8.0,6.0,10.0,4.0,4.0,9.0,6.0,2.0,grace manor,7,11,<5,Active,120.0,Brampton,3521010.0,43.65294337,-79.74143790000002
GRACE VILLA NURSING HOME,45 Lockton Crescent,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,,Hamilton, L8V4V5,81.0,26.0,12.0,37.0,10.0,5.0,13.0,6.0,5.0,31.0,13.0,4.0,grace villa nursing home,,0,,Inactive,184.0,Hamilton,3525005.0,43.21147629,-79.84709659
GRANDVIEW LODGE / DUNNVILLE,657 Lock Street West,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Dunnville, N1A1V9,37.0,17.0,7.0,16.0,8.0,4.0,12.0,4.0,1.0,9.0,5.0,,grandview lodge / dunnville,,,,,128.0,Haldimand County,3528018.0,42.90834644,-79.63401540000002
GRANITE RIDGE CARE COMMUNITY,5501 Abbott Street East,Champlain,For-Profit,No,Yes,Yes,Yes,,Stittsville, K2S2C5,34.0,22.0,10.0,14.0,8.0,5.0,16.0,11.0,5.0,1.0,,,granite ridge care community,,,,,224.0,Ottawa,3506008.0,45.26988372,-75.90499269
GREENWOOD COURT,90 Greenwood Drive,South West,Non-Profit,No,Yes,No,No,,Stratford, N5A7W5,20.0,12.0,3.0,5.0,4.0,,3.0,3.0,2.0,4.0,1.0,,greenwood court,,<5,,Inactive,45.0,Stratford,3531011.0,43.38294686,-80.97615776
GREY GABLES HOME FOR THE AGED,206 Toronto Street South,South West,Municipal,No,Yes,Yes,No,,Markdale, N0C1H0,40.0,19.0,8.0,10.0,6.0,2.0,20.0,5.0,1.0,8.0,6.0,4.0,grey gables home for the aged,,,,,66.0,Grey Highlands,3542015.0,44.31396564,-80.64029685
GROVE PARK HOME FOR SENIOR CITIZENS,234 Cook Street,North Simcoe Muskoka,Non-Profit,No,Yes,No,Yes,,Barrie, L4M4H5,22.0,14.0,8.0,5.0,3.0,3.0,8.0,5.0,4.0,3.0,1.0,,grove park home for senior citizens,,,,,143.0,Barrie,3543042.0,44.406020700000006,-79.66946724
GROVES PARK LODGE,470 Raglan Street North,Champlain,For-Profit,Yes,Yes,Yes,Yes,,Renfrew, K7V1P5,19.0,14.0,8.0,4.0,3.0,2.0,10.0,7.0,5.0,3.0,3.0,2.0,groves park lodge,,,,,90.0,Renfrew,3547048.0,45.48151172,-76.69696907
H.J. MCFARLAND MEMORIAL HOME,"R.R. #2, 603 Highway 49 Hallowell Township",South East,Municipal,No,Yes,Yes,Yes,,Picton, K0K2T0,62.0,35.0,13.0,15.0,8.0,3.0,29.0,17.0,9.0,14.0,9.0,2.0,h.j. mcfarland memorial home,,,,,84.0,Prince Edward County,3513020.0,44.02513295,-77.13549939
HALLOWELL HOUSE,13628 Loyalist Parkway,South East,For-Profit,No,Yes,Yes,Yes,,Picton, K0K2T0,41.0,18.0,8.0,16.0,7.0,4.0,17.0,5.0,3.0,5.0,5.0,2.0,hallowell house,,0,,Inactive,97.0,Prince Edward County,3513020.0,43.99421064,-77.1810053
HAMILTON CONTINUING CARE,125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,,Hamilton, L8N2Z1,42.0,21.0,8.0,14.0,3.0,1.0,13.0,6.0,3.0,13.0,10.0,3.0,hamilton continuing care,,,,,64.0,Hamilton,3525005.0,43.24791349,-79.8504795
HAMPTON TERRACE CARE CENTRE,75 Plains Road West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7T1E8,31.0,14.0,5.0,14.0,5.0,2.0,4.0,3.0,1.0,11.0,5.0,1.0,hampton terrace care centre,0,0,0,Active,101.0,Burlington,3524002.0,43.3054339,-79.8554984
HANOVER CARE CENTRE,700-19th Avenue,South West,For-Profit,No,Yes,No,No,,Hanover, N4N3S6,22.0,13.0,4.0,7.0,3.0,1.0,6.0,4.0,3.0,4.0,2.0,,hanover care centre,,,,,41.0,Hanover,3542029.0,44.15991379,-81.01744915
HARDY TERRACE,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Brantford, N3T5L5,47.0,21.0,13.0,20.0,7.0,5.0,16.0,7.0,5.0,14.0,7.0,5.0,hardy terrace,,,,,101.0,Brant,3529005.0,43.0876862,-80.3068167
HARMONY HILLS CARE COMMUNITY,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M4A1W7,19.0,9.0,6.0,6.0,3.0,3.0,7.0,3.0,3.0,1.0,,,harmony hills care community,,,,,160.0,Toronto,3520005.0,43.7205599,-79.30496586
HAROLD AND GRACE BAKER CENTRE,1 Northwestern Avenue,Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M6M2J7,22.0,13.0,6.0,12.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,harold and grace baker centre,,16,,Inactive,120.0,Toronto,3520005.0,43.69821459,-79.46978092
HASTINGS CENTENNIAL MANOR,1 Manor Lane P.O. Box 758,South East,Municipal,Yes,Yes,Yes,Yes,,Bancroft, K0L1C0,33.0,27.0,13.0,7.0,6.0,6.0,19.0,16.0,6.0,2.0,1.0,,hastings centennial manor,,,,,110.0,Bancroft,3512061.0,45.0550849,-77.86421482
HASTINGS MANOR HOME FOR THE AGED,476 Dundas Street West P.O. Box 458,South East,Municipal,Yes,Yes,Yes,Yes,,Belleville, K8N5B2,72.0,57.0,14.0,27.0,22.0,7.0,34.0,26.0,6.0,9.0,8.0,,hastings manor home for the aged,,<5,,Inactive,253.0,Belleville,3512005.0,44.14751276,-77.41249679
HAWTHORN WOODS CARE COMMUNITY,9257 Goreway Drive,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6P0N5,60.0,28.0,16.0,26.0,7.0,4.0,24.0,14.0,9.0,8.0,7.0,4.0,hawthorn woods care community,,,,,160.0,Brampton,3521010.0,43.75755779,-79.68888879
