LHIN,home type,short stay,total_inspections,2y_inspections,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,lat,long
Erie St. Clair,Non-Profit,Yes,38,5,vision nursing home,5,<5,<5,Active,146,42.97,-82.4
Central East,For-Profit,Yes,24,4,warkworth place,,,,,60,44.2,-77.89
North East,For-Profit,No,41,12,waters edge care community,,,,,148,46.28,-79.45
Erie St. Clair,For-Profit,Yes,18,3,watford quality care centre,,,,,63,42.95,-81.89
Toronto Central,Non-Profit,Yes,35,9,wellesley central place,43,16,21,Active,150,43.67,-79.38
South East,For-Profit,No,57,7,wellington house nursing home,,,,,60,44.72,-75.52
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,42,5,wellington park care centre,,,,,132,43.33,-79.81
Waterloo Wellington,Municipal,No,18,4,wellington terrace long-term care home,,0,,Inactive,176,43.7,-80.4
Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,23,12,wentworth lodge,0,0,0,Active,160,43.26,-79.95
Mississauga Halton,Municipal,Yes,62,6,wesburn manor,<5,0,0,Active,192,43.64,-79.57
South East,For-Profit,No,26,6,west lake terrace,,,,,47,43.93,-77.26
Mississauga Halton,For-Profit,No,33,11,west oak village,,,,,133,43.45,-79.76
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,48,10,west park health centre,,,,,101,43.14,-79.25
Toronto Central,Non-Profit,Yes,61,11,west park long term care centre,57,20,31,Active,200,43.69,-79.51
South East,For-Profit,Yes,42,12,westgate lodge nursing home,,,,,88,44.15,-77.41
South West,For-Profit,No,86,10,westmount gardens long term care home,,,,,160,42.95,-81.31
Central,For-Profit,No,34,9,weston terrace care community,42,13,29,Active,224,43.7,-79.51
Central West,For-Profit,Yes,50,10,westside,,<5,,Inactive,242,43.74,-79.57
North East,Non-Profit,Yes,54,12,wikwemikong nursing home,<5,0,0,Active,59,45.8,-81.72
South West,For-Profit,No,25,6,wildwood care centre,,,,,60,43.26,-81.15
North West,Non-Profit,No,9,2,wilkes terrace,,,,,22,48.78,-87.1
North East,For-Profit,Yes,65,,lady isabelle nursing home,,,,,66,45.99,-79.36
Central East,For-Profit,Yes,44,8,winbourne park,,0,,Inactive,110,43.88,-79.04
Central West,For-Profit,No,53,12,woodbridge vista care community,<5,0,<5,Active,224,43.76,-79.6
Central West,For-Profit,No,38,7,woodhall park care community,,,,,147,43.72,-79.78
South West,Municipal,No,20,9,woodingford lodge - ingersoll,,,,,34,43.03,-80.88
South West,Municipal,Yes,19,7,woodingford lodge - tillsonburg,,,,,34,42.86,-80.73
South West,Municipal,Yes,38,12,woodingford lodge - woodstock,,,,,160,43.11,-80.76
Champlain,For-Profit,No,44,6,woodland villa,<5,0,0,Active,111,45.03,-74.89
North Simcoe Muskoka,For-Profit,Yes,31,8,woods park care centre,,0,,Inactive,123,44.4,-79.72
Mississauga Halton,Non-Profit,No,34,6,wyndham manor long term care centre,,,,,128,43.45,-79.67
Central,Non-Profit,Yes,12,3,yee hong centre - markham,,0,,Inactive,200,43.89,-79.23
Mississauga Halton,Non-Profit,Yes,23,7,yee hong centre - mississauga,,,,,200,43.6,-79.69
Central East,Non-Profit,Yes,16,7,yee hong centre - scarborough finch,,,,,250,43.81,-79.25
Central East,Non-Profit,Yes,15,3,yee hong centre - scarborough mcnicoll,,0,,Inactive,155,43.81,-79.29
Central,Municipal,Yes,25,10,york region maple health centre,,,,,100,43.87,-79.52
Central,Municipal,Yes,26,8,york region newmarket health centre,,,,,132,44.05,-79.47
